tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
118088,Tite,1,1,Παῦλος,Παῦλος,G3972,158
118089,Tite,1,1,δοῦλος,δοῦλος,G1401,129
118090,Tite,1,1,θεοῦ,θεός,G2316,1311
118091,Tite,1,1,ἀπόστολος,ἀπόστολος,G0652,79
118092,Tite,1,1,δὲ,δέ,G1161,2771
118093,Tite,1,1,Ἰησοῦ,Ἰησοῦς,G2424,910
118094,Tite,1,1,Χριστοῦ,Χριστός,G5547,529
118095,Tite,1,1,κατὰ,κατά,G2596,472
118096,Tite,1,1,πίστιν,πίστις,G4102,242
118097,Tite,1,1,ἐκλεκτῶν,ἐκλεκτός,G1588,22
118098,Tite,1,1,θεοῦ,θεός,G2316,1311
118099,Tite,1,1,καὶ,καί,G2532,9108
118100,Tite,1,1,ἐπίγνωσιν,ἐπίγνωσις,G1922,20
118101,Tite,1,1,ἀληθείας,ἀλήθεια,G0225,108
118102,Tite,1,1,τῆς,ὁ,G3588,19785
118103,Tite,1,1,κατ᾽,κατά,G2596,472
118104,Tite,1,1,εὐσέβειαν,εὐσέβεια,G2150,15
118105,Tite,1,2,ἐπ᾽,ἐπί,G1909,884
118106,Tite,1,2,ἐλπίδι,ἐλπίς,G1680,53
118107,Tite,1,2,ζωῆς,ζωή,G2222,135
118108,Tite,1,2,αἰωνίου,αἰώνιος,G0166,70
118109,Tite,1,2,ἣν,ὅς,G3739,1408
118110,Tite,1,2,ἐπηγγείλατο,ἐπαγγέλλω,G1861,15
118111,Tite,1,2,ὁ,ὁ,G3588,19785
118112,Tite,1,2,ἀψευδὴς,ἀψευδής,G0893,1
118113,Tite,1,2,θεὸς,θεός,G2316,1311
118114,Tite,1,2,πρὸ,πρό,G4253,47
118115,Tite,1,2,χρόνων,χρόνος,G5550,53
118116,Tite,1,2,αἰωνίων,αἰώνιος,G0166,70
118117,Tite,1,3,ἐφανέρωσεν,φανερόω,G5319,49
118118,Tite,1,3,δὲ,δέ,G1161,2771
118119,Tite,1,3,καιροῖς,καιρός,G2540,85
118120,Tite,1,3,ἰδίοις,ἴδιος,G2398,113
118121,Tite,1,3,τὸν,ὁ,G3588,19785
118122,Tite,1,3,λόγον,λόγος,G3056,330
118123,Tite,1,3,αὐτοῦ,αὐτός,G0846,5558
118124,Tite,1,3,ἐν,ἐν,G1722,2728
118125,Tite,1,3,κηρύγματι,κήρυγμα,G2782,8
118126,Tite,1,3,ὃ,ὅς,G3739,1408
118127,Tite,1,3,ἐπιστεύθην,πιστεύω,G4100,238
118128,Tite,1,3,ἐγὼ,ἐγώ,G1473,2462
