Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
295638,Zacharie,1,1,בַּחֹ֙דֶשׁ֙,חֹ֫דֶשׁ,H2320,285
295639,Zacharie,1,1,הַשְּׁמִינִ֔י,שְׁמִינִי,H8066,28
295640,Zacharie,1,1,בִּשְׁנַ֥ת,שָׁנָה,H8141,877
295641,Zacharie,1,1,שְׁתַּ֖יִם,שְׁנַ֫יִם,H8147,769
295642,Zacharie,1,1,לְדָרְיָ֑וֶשׁ,דָּֽרְיָ֫וֶשׁ,H1867,10
295643,Zacharie,1,1,הָיָ֣ה,הָיָה,H1961,3562
295644,Zacharie,1,1,דְבַר־,דָּבָר,H1697,1442
295645,Zacharie,1,1,יְהוָ֗ה,יהוה,H3068,6528
295646,Zacharie,1,1,אֶל־,אֶל,H0413,5515
295647,Zacharie,1,1,זְכַרְיָה֙,זְכַרְיָה,H2148,43
295648,Zacharie,1,1,בֶּן־,בֵּן,H1121,4959
295649,Zacharie,1,1,בֶּ֣רֶכְיָ֔ה,בֶּרֶכְיָה,H1296,11
295650,Zacharie,1,1,בֶּן־,בֵּן,H1121,4959
295651,Zacharie,1,1,עִדּ֥וֹ,עִדּוֹ,H5714,10
295652,Zacharie,1,1,הַנָּבִ֖יא,נָבִיא,H5030,315
295653,Zacharie,1,1,לֵאמֹֽר׃,אָמַר,H0559,5309
295654,Zacharie,1,2,קָצַ֧ף,קָצַף,H7107,34
295655,Zacharie,1,2,יְהוָ֛ה,יהוה,H3068,6528
295656,Zacharie,1,2,עַל־,עַל,H5921,5774
295657,Zacharie,1,2,אֲבֽוֹתֵיכֶ֖ם,אָב,H0001,1213
295658,Zacharie,1,2,קָֽצֶף׃,קֶ֫צֶף,H7110,29
295659,Zacharie,1,3,וְאָמַרְתָּ֣,אָמַר,H0559,5309
295660,Zacharie,1,3,אֲלֵהֶ֗ם,אֶל,H0413,5515
295661,Zacharie,1,3,כֹּ֤ה,כֹּה,H3541,577
295662,Zacharie,1,3,אָמַר֙,אָמַר,H0559,5309
295663,Zacharie,1,3,יְהוָ֣ה,יהוה,H3068,6528
295664,Zacharie,1,3,צְבָא֔וֹת,צָבָא,H6635,484
295665,Zacharie,1,3,שׁ֣וּבוּ,שׁוּב,H7725,1057
295666,Zacharie,1,3,אֵלַ֔י,אֶל,H0413,5515
295667,Zacharie,1,3,נְאֻ֖ם,נְאֻם,H5002,376
295668,Zacharie,1,3,יְהוָ֣ה,יהוה,H3068,6528
295669,Zacharie,1,3,צְבָא֑וֹת,צָבָא,H6635,484
295670,Zacharie,1,3,וְאָשׁ֣וּב,שׁוּב,H7725,1057
295671,Zacharie,1,3,אֲלֵיכֶ֔ם,אֶל,H0413,5515
295672,Zacharie,1,3,אָמַ֖ר,אָמַר,H0559,5309
295673,Zacharie,1,3,יְהוָ֥ה,יהוה,H3068,6528
295674,Zacharie,1,3,צְבָאֽוֹת׃,צָבָא,H6635,484
295675,Zacharie,1,4,אַל־,אַל,H0408,725
295676,Zacharie,1,4,תִּהְי֣וּ,הָיָה,H1961,3562
295677,Zacharie,1,4,כַאֲבֹֽתֵיכֶ֡ם,אָב,H0001,1213
295678,Zacharie,1,4,אֲשֶׁ֣ר,אֲשֶׁר,H0834,5499
295679,Zacharie,1,4,קָרְאֽוּ־,קָרָא,H7121,733
295680,Zacharie,1,4,אֲלֵיהֶם֩,אֶל,H0413,5515
295681,Zacharie,1,4,הַנְּבִיאִ֨ים,נָבִיא,H5030,315
