tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
107039,Éphésiens,1,1,Παῦλος,Παῦλος,G3972,158
107040,Éphésiens,1,1,ἀπόστολος,ἀπόστολος,G0652,79
107041,Éphésiens,1,1,Χριστοῦ,Χριστός,G5547,529
107042,Éphésiens,1,1,Ἰησοῦ,Ἰησοῦς,G2424,910
107043,Éphésiens,1,1,διὰ,διά,G1223,666
107044,Éphésiens,1,1,θελήματος,θέλημα,G2307,62
107045,Éphésiens,1,1,θεοῦ,θεός,G2316,1311
107046,Éphésiens,1,1,τοῖς,ὁ,G3588,19785
107047,Éphésiens,1,1,ἁγίοις,ἅγιος,G0040,224
107048,Éphésiens,1,1,τοῖς,ὁ,G3588,19785
107049,Éphésiens,1,1,οὖσιν,εἰμί,G1510,2458
107050,Éphésiens,1,1,ἐν,ἐν,G1722,2728
107051,Éphésiens,1,1,Ἐφέσῳ,Ἔφεσος,G2181,16
107052,Éphésiens,1,1,καὶ,καί,G2532,9108
107053,Éphésiens,1,1,πιστοῖς,πιστός,G4103,66
107054,Éphésiens,1,1,ἐν,ἐν,G1722,2728
107055,Éphésiens,1,1,Χριστῷ,Χριστός,G5547,529
107056,Éphésiens,1,1,Ἰησοῦ,Ἰησοῦς,G2424,910
107057,Éphésiens,1,2,χάρις,χάρις,G5485,154
107058,Éphésiens,1,2,ὑμῖν,σύ,G4771,2896
107059,Éphésiens,1,2,καὶ,καί,G2532,9108
107060,Éphésiens,1,2,εἰρήνη,εἰρήνη,G1515,92
107061,Éphésiens,1,2,ἀπὸ,ἀπό,G0575,640
107062,Éphésiens,1,2,θεοῦ,θεός,G2316,1311
107063,Éphésiens,1,2,πατρὸς,πατήρ,G3962,414
107064,Éphésiens,1,2,ἡμῶν,ἐγώ,G1473,2462
107065,Éphésiens,1,2,καὶ,καί,G2532,9108
107066,Éphésiens,1,2,κυρίου,κύριος,G2962,716
107067,Éphésiens,1,2,Ἰησοῦ,Ἰησοῦς,G2424,910
107068,Éphésiens,1,2,Χριστοῦ,Χριστός,G5547,529
107069,Éphésiens,1,3,Εὐλογητὸς,εὐλογητός,G2128,8
107070,Éphésiens,1,3,ὁ,ὁ,G3588,19785
107071,Éphésiens,1,3,θεὸς,θεός,G2316,1311
107072,Éphésiens,1,3,καὶ,καί,G2532,9108
107073,Éphésiens,1,3,πατὴρ,πατήρ,G3962,414
107074,Éphésiens,1,3,τοῦ,ὁ,G3588,19785
107075,Éphésiens,1,3,κυρίου,κύριος,G2962,716
107076,Éphésiens,1,3,ἡμῶν,ἐγώ,G1473,2462
107077,Éphésiens,1,3,Ἰησοῦ,Ἰησοῦς,G2424,910
107078,Éphésiens,1,3,Χριστοῦ,Χριστός,G5547,529
107079,Éphésiens,1,3,ὁ,ὁ,G3588,19785
107080,Éphésiens,1,3,εὐλογήσας,εὐλογέω,G2127,41
107081,Éphésiens,1,3,ἡμᾶς,ἐγώ,G1473,2462
107082,Éphésiens,1,3,ἐν,ἐν,G1722,2728
107083,Éphésiens,1,3,πάσῃ,πᾶς,G3956,1236
107084,Éphésiens,1,3,εὐλογίᾳ,εὐλογία,G2129,16
107085,Éphésiens,1,3,πνευματικῆ,πνευματικός,G4152,26
107086,Éphésiens,1,3,ἐν,ἐν,G1722,2728
107087,Éphésiens,1,3,τοῖς,ὁ,G3588,19785
107088,Éphésiens,1,3,ἐπουρανίοις,ἐπουράνιος,G2032,19
107089,Éphésiens,1,3,ἐν,ἐν,G1722,2728
107090,Éphésiens,1,3,Χριστῷ,Χριστός,G5547,529
107091,Éphésiens,1,4,καθὼς,καθώς,G2531,182
107092,Éphésiens,1,4,ἐξελέξατο,ἐκλέγω,G1586,21
107093,Éphésiens,1,4,ἡμᾶς,ἐγώ,G1473,2462
107094,Éphésiens,1,4,ἐν,ἐν,G1722,2728
107095,Éphésiens,1,4,αὐτῷ,αὐτός,G0846,5558
107096,Éphésiens,1,4,πρὸ,πρό,G4253,47
107097,Éphésiens,1,4,καταβολῆς,καταβολή,G2602,11
107098,Éphésiens,1,4,κόσμου,κόσμος,G2889,185
107099,Éphésiens,1,4,εἶναι,εἰμί,G1510,2458
107100,Éphésiens,1,4,ἡμᾶς,ἐγώ,G1473,2462
107101,Éphésiens,1,4,ἁγίους,ἅγιος,G0040,224
107102,Éphésiens,1,4,καὶ,καί,G2532,9108
107103,Éphésiens,1,4,ἀμώμους,ἄμωμος,G0299,8
107104,Éphésiens,1,4,κατενώπιον,κατενώπιον,G2714,3
107105,Éphésiens,1,4,αὐτοῦ,αὐτός,G0846,5558
107106,Éphésiens,1,4,ἐν,ἐν,G1722,2728
107107,Éphésiens,1,4,ἀγάπῃ,ἀγάπη,G0026,116
107108,Éphésiens,1,5,προορίσας,προορίζω,G4309,6
107109,Éphésiens,1,5,ἡμᾶς,ἐγώ,G1473,2462
107110,Éphésiens,1,5,εἰς,εἰς,G1519,1757
107111,Éphésiens,1,5,υἱοθεσίαν,υἱοθεσία,G5206,5
107112,Éphésiens,1,5,διὰ,διά,G1223,666
107113,Éphésiens,1,5,Ἰησοῦ,Ἰησοῦς,G2424,910
107114,Éphésiens,1,5,Χριστοῦ,Χριστός,G5547,529
107115,Éphésiens,1,5,εἰς,εἰς,G1519,1757
107116,Éphésiens,1,5,αὐτὸν,αὐτός,G0846,5558
107117,Éphésiens,1,5,κατὰ,κατά,G2596,472
107118,Éphésiens,1,5,τὴν,ὁ,G3588,19785
107119,Éphésiens,1,5,εὐδοκίαν,εὐδοκία,G2107,9
107120,Éphésiens,1,5,τοῦ,ὁ,G3588,19785
107121,Éphésiens,1,5,θελήματος,θέλημα,G2307,62
107122,Éphésiens,1,5,αὐτοῦ,αὐτός,G0846,5558
107123,Éphésiens,1,6,εἰς,εἰς,G1519,1757
107124,Éphésiens,1,6,ἔπαινον,ἔπαινος,G1868,11
107125,Éphésiens,1,6,δόξης,δόξα,G1391,166
107126,Éphésiens,1,6,τῆς,ὁ,G3588,19785
107127,Éphésiens,1,6,χάριτος,χάρις,G5485,154
107128,Éphésiens,1,6,αὐτοῦ,αὐτός,G0846,5558
107130,Éphésiens,1,6,ἧς,ὅς,G3739,1408
107131,Éphésiens,1,6,ἐχαρίτωσεν,χαριτόω,G5487,2
107132,Éphésiens,1,6,ἡμᾶς,ἐγώ,G1473,2462
107133,Éphésiens,1,6,ἐν,ἐν,G1722,2728
107134,Éphésiens,1,6,τῷ,ὁ,G3588,19785
107135,Éphésiens,1,6,ἠγαπημένῳ,ἀγαπάω,G0025,143
107136,Éphésiens,1,7,ἐν,ἐν,G1722,2728
107137,Éphésiens,1,7,ᾧ,ὅς,G3739,1408
107138,Éphésiens,1,7,ἔχομεν,ἔχω,G2192,706
107139,Éphésiens,1,7,τὴν,ὁ,G3588,19785
107140,Éphésiens,1,7,ἀπολύτρωσιν,ἀπολύτρωσις,G0629,10
107141,Éphésiens,1,7,διὰ,διά,G1223,666
107142,Éphésiens,1,7,τοῦ,ὁ,G3588,19785
107143,Éphésiens,1,7,αἵματος,αἷμα,G0129,97
107144,Éphésiens,1,7,αὐτοῦ,αὐτός,G0846,5558
107145,Éphésiens,1,7,τὴν,ὁ,G3588,19785
107146,Éphésiens,1,7,ἄφεσιν,ἄφεσις,G0859,17
107147,Éphésiens,1,7,τῶν,ὁ,G3588,19785
107148,Éphésiens,1,7,παραπτωμάτων,παράπτωμα,G3900,20
107149,Éphésiens,1,7,κατὰ,κατά,G2596,472
107150,Éphésiens,1,7,τὸ,ὁ,G3588,19785
107151,Éphésiens,1,7,πλοῦτος,πλοῦτος,G4149,22
107152,Éphésiens,1,7,τῆς,ὁ,G3588,19785
107153,Éphésiens,1,7,χάριτος,χάρις,G5485,154
107154,Éphésiens,1,7,αὐτοῦ,αὐτός,G0846,5558
107155,Éphésiens,1,8,ἧς,ὅς,G3739,1408
107156,Éphésiens,1,8,ἐπερίσσευσεν,περισσεύω,G4052,39
107157,Éphésiens,1,8,εἰς,εἰς,G1519,1757
107158,Éphésiens,1,8,ἡμᾶς,ἐγώ,G1473,2462
107159,Éphésiens,1,8,ἐν,ἐν,G1722,2728
107160,Éphésiens,1,8,πάσῃ,πᾶς,G3956,1236
107161,Éphésiens,1,8,σοφίᾳ,σοφία,G4678,51
107162,Éphésiens,1,8,καὶ,καί,G2532,9108
107163,Éphésiens,1,8,φρονήσει,φρόνησις,G5428,2
107164,Éphésiens,1,9,γνωρίσας,γνωρίζω,G1107,25
107165,Éphésiens,1,9,ἡμῖν,ἐγώ,G1473,2462
107166,Éphésiens,1,9,τὸ,ὁ,G3588,19785
107167,Éphésiens,1,9,μυστήριον,μυστήριον,G3466,27
107168,Éphésiens,1,9,τοῦ,ὁ,G3588,19785
107169,Éphésiens,1,9,θελήματος,θέλημα,G2307,62
107170,Éphésiens,1,9,αὐτοῦ,αὐτός,G0846,5558
107171,Éphésiens,1,9,κατὰ,κατά,G2596,472
107172,Éphésiens,1,9,τὴν,ὁ,G3588,19785
107173,Éphésiens,1,9,εὐδοκίαν,εὐδοκία,G2107,9
107174,Éphésiens,1,9,αὐτοῦ,αὐτός,G0846,5558
107175,Éphésiens,1,9,ἣν,ὅς,G3739,1408
107176,Éphésiens,1,9,προέθετο,προτίθημι,G4388,3
107177,Éphésiens,1,9,ἐν,ἐν,G1722,2728
107178,Éphésiens,1,9,αὐτῷ,αὐτός,G0846,5558
107179,Éphésiens,1,10,εἰς,εἰς,G1519,1757
107180,Éphésiens,1,10,οἰκονομίαν,οἰκονομία,G3622,9
107181,Éphésiens,1,10,τοῦ,ὁ,G3588,19785
107182,Éphésiens,1,10,πληρώματος,πλήρωμα,G4138,17
107183,Éphésiens,1,10,τῶν,ὁ,G3588,19785
107184,Éphésiens,1,10,καιρῶν,καιρός,G2540,85
107185,Éphésiens,1,10,ἀνακεφαλαιώσασθαι,ἀνακεφαλαιόομαι,G0346,2
107186,Éphésiens,1,10,τὰ,ὁ,G3588,19785
107187,Éphésiens,1,10,πάντα,πᾶς,G3956,1236
107188,Éphésiens,1,10,ἐν,ἐν,G1722,2728
107189,Éphésiens,1,10,τῷ,ὁ,G3588,19785
107190,Éphésiens,1,10,Χριστῷ,Χριστός,G5547,529
107191,Éphésiens,1,10,τὰ,ὁ,G3588,19785
107193,Éphésiens,1,10,ἐπὶ,ἐπί,G1909,884
107194,Éphésiens,1,10,τοῖς,ὁ,G3588,19785
107195,Éphésiens,1,10,οὐρανοῖς,οὐρανός,G3772,273
107196,Éphésiens,1,10,καὶ,καί,G2532,9108
107197,Éphésiens,1,10,τὰ,ὁ,G3588,19785
107198,Éphésiens,1,10,ἐπὶ,ἐπί,G1909,884
107199,Éphésiens,1,10,τῆς,ὁ,G3588,19785
107200,Éphésiens,1,10,γῆς,γῆ,G1093,247
107201,Éphésiens,1,10,ἐν,ἐν,G1722,2728
107202,Éphésiens,1,10,αὐτῷ,αὐτός,G0846,5558
107203,Éphésiens,1,11,ἐν,ἐν,G1722,2728
107204,Éphésiens,1,11,ᾧ,ὅς,G3739,1408
107205,Éphésiens,1,11,καὶ,καί,G2532,9108
107206,Éphésiens,1,11,ἐκληρώθημεν,κληρόω,G2820,1
107207,Éphésiens,1,11,προορισθέντες,προορίζω,G4309,6
107208,Éphésiens,1,11,κατὰ,κατά,G2596,472
107209,Éphésiens,1,11,πρόθεσιν,πρόθεσις,G4286,12
