Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
221833,Ésaïe,1,1,חֲזוֹן֙,חָזוֹן,H2377,35
221834,Ésaïe,1,1,יְשַֽׁעְיָ֣הוּ,יְשַׁעְיָ֫הוּ,H3470,39
221835,Ésaïe,1,1,בֶן־,בֵּן,H1121,4959
221836,Ésaïe,1,1,אָמ֔וֹץ,אָמוֹץ,H0531,13
221837,Ésaïe,1,1,אֲשֶׁ֣ר,אֲשֶׁר,H0834,5499
221838,Ésaïe,1,1,חָזָ֔ה,חָזָה,H2372,55
221839,Ésaïe,1,1,עַל־,עַל,H5921,5774
221840,Ésaïe,1,1,יְהוּדָ֖ה,יְהוּדָה,H3063,820
221841,Ésaïe,1,1,וִירוּשָׁלִָ֑ם,"יְרוּשָׁלִַ֫ם, יְרוּשְׁלֵם",H3389,643
221842,Ésaïe,1,1,בִּימֵ֨י,יוֹם,H3117,2306
221843,Ésaïe,1,1,עֻזִּיָּ֧הוּ,עֻזִּיָּהוּ,H5818,27
221844,Ésaïe,1,1,יוֹתָ֛ם,יוֹתָם,H3147,24
221845,Ésaïe,1,1,אָחָ֥ז,אָחָז,H0271,42
221846,Ésaïe,1,1,יְחִזְקִיָּ֖הוּ,חִזְקִיָּהוּ,H2396,127
221847,Ésaïe,1,1,מַלְכֵ֥י,מֶ֫לֶךְ,H4428,2526
221848,Ésaïe,1,1,יְהוּדָֽה׃,יְהוּדָה,H3063,820
221849,Ésaïe,1,2,שִׁמְע֤וּ,שָׁמַע,H8085,1160
221850,Ésaïe,1,2,שָׁמַ֙יִם֙,שָׁמַיִם,H8064,421
221851,Ésaïe,1,2,וְהַאֲזִ֣ינִי,אָזַן,H0238,41
221852,Ésaïe,1,2,אֶ֔רֶץ,אֶ֫רֶץ,H0776,2504
221853,Ésaïe,1,2,כִּ֥י,כִּי,H3588,4485
221854,Ésaïe,1,2,יְהוָ֖ה,יהוה,H3068,6528
221855,Ésaïe,1,2,דִּבֵּ֑ר,דָבַר,H1696,1142
221856,Ésaïe,1,2,בָּנִים֙,בֵּן,H1121,4959
221857,Ésaïe,1,2,גִּדַּ֣לְתִּי,גָּדַל,H1431,117
221858,Ésaïe,1,2,וְרוֹמַ֔מְתִּי,רוּם,H7311,190
221859,Ésaïe,1,2,וְהֵ֖ם,הֵ֫מָּה,H1992,552
221860,Ésaïe,1,2,פָּ֥שְׁעוּ,פָּשַׁע,H6586,41
221861,Ésaïe,1,3,יָדַ֥ע,יָדַע,H3045,946
221862,Ésaïe,1,3,שׁוֹר֙,שׁוֹר,H7794,79
221863,Ésaïe,1,3,קֹנֵ֔הוּ,קָנָה,H7069,84
221864,Ésaïe,1,3,וַחֲמ֖וֹר,חֲמוֹר,H2543,96
221865,Ésaïe,1,3,אֵב֣וּס,אֵבוּס,H0018,3
221866,Ésaïe,1,3,בְּעָלָ֑יו,בַּעַל,H1167,84
221867,Ésaïe,1,3,יִשְׂרָאֵל֙,יִשְׂרָאֵל,H3478,2508
221868,Ésaïe,1,3,לֹ֣א,לֹא,H3808,5170
221869,Ésaïe,1,3,יָדַ֔ע,יָדַע,H3045,946
221870,Ésaïe,1,3,עַמִּ֖י,עַם,H5971,1872
221871,Ésaïe,1,3,לֹ֥א,לֹא,H3808,5170
221872,Ésaïe,1,3,הִתְבּוֹנָֽן׃,בִּין,H0995,170
221873,Ésaïe,1,4,ה֣וֹי׀,הוֹי,H1945,51
221874,Ésaïe,1,4,גּ֣וֹי,גּוֹי,H1471,561
221875,Ésaïe,1,4,חֹטֵ֗א,חָטָא,H2398,238
221876,Ésaïe,1,4,עַ֚ם,עַם,H5971,1872
221877,Ésaïe,1,4,כֶּ֣בֶד,כָּבֵד,H3515,41
221878,Ésaïe,1,4,עָוֹ֔ן,עָוֺן,H5771,233
221879,Ésaïe,1,4,זֶ֣רַע,זֶ֫רַע,H2233,229
221880,Ésaïe,1,4,מְרֵעִ֔ים,רָעַע,H7489,104
221881,Ésaïe,1,4,בָּנִ֖ים,בֵּן,H1121,4959
221882,Ésaïe,1,4,מַשְׁחִיתִ֑ים,שָׁחַת,H7843,146
221883,Ésaïe,1,4,עָזְב֣וּ,עָזַב,H5800,215
221884,Ésaïe,1,4,אֶת־,אֵת,H0853,10947
221885,Ésaïe,1,4,יְהוָ֗ה,יהוה,H3068,6528
221886,Ésaïe,1,4,נִֽאֲצ֛וּ,נָאַץ,H5006,25
221887,Ésaïe,1,4,אֶת־,אֵת,H0853,10947
221888,Ésaïe,1,4,קְד֥וֹשׁ,קָדוֹשׁ,H6918,116
221889,Ésaïe,1,4,יִשְׂרָאֵ֖ל,יִשְׂרָאֵל,H3478,2508
221890,Ésaïe,1,4,נָזֹ֥רוּ,זוּר,H2114,77
221891,Ésaïe,1,4,אָחֽוֹר׃,אָחוֹר,H0268,41
221892,Ésaïe,1,5,עַ֣ל,עַל,H5921,5774
221893,Ésaïe,1,5,מֶ֥ה,מָה,H4100,753
221894,Ésaïe,1,5,תֻכּ֛וּ,נָכָה,H5221,500
221895,Ésaïe,1,5,ע֖וֹד,עוֹד,H5750,490
221896,Ésaïe,1,5,תּוֹסִ֣יפוּ,יָסַף,H3254,212
221897,Ésaïe,1,5,סָרָ֑ה,סָרָה,H5627,8
221898,Ésaïe,1,5,כָּל־,כֹּל,H3605,5415
221899,Ésaïe,1,5,רֹ֣אשׁ,רֹאשׁ,H7218,600
221900,Ésaïe,1,5,לָחֳלִ֔י,חֳלִי,H2483,24
221901,Ésaïe,1,5,וְכָל־,כֹּל,H3605,5415
221902,Ésaïe,1,5,לֵבָ֖ב,לֵבָב,H3824,252
221903,Ésaïe,1,5,דַּוָּֽי׃,דַּוָּי,H1742,3
221904,Ésaïe,1,6,מִכַּף־,כַּף,H3709,193
221905,Ésaïe,1,6,רֶ֤גֶל,רֶ֫גֶל,H7272,245
221906,Ésaïe,1,6,וְעַד־,עַד,H5704,1261
221907,Ésaïe,1,6,רֹאשׁ֙,רֹאשׁ,H7218,600
221908,Ésaïe,1,6,אֵֽין־,אַ֫יִן,H0369,789
221909,Ésaïe,1,6,מְתֹ֔ם,מְתֹם,H4974,4
221910,Ésaïe,1,6,פֶּ֥צַע,פֶּ֫צַע,H6482,8
221911,Ésaïe,1,6,וְחַבּוּרָ֖ה,חַבּוּרָה,H2250,7
221912,Ésaïe,1,6,וּמַכָּ֣ה,מַכָּה,H4347,48
221913,Ésaïe,1,6,טְרִיָּ֑ה,טָרִי,H2961,2
221914,Ésaïe,1,6,לֹא־,לֹא,H3808,5170
221915,Ésaïe,1,6,זֹ֙רוּ֙,זוּר,H2115,3
221916,Ésaïe,1,6,וְלֹ֣א,לֹא,H3808,5170
221917,Ésaïe,1,6,חֻבָּ֔שׁוּ,חָבַשׁ,H2280,33
221918,Ésaïe,1,6,וְלֹ֥א,לֹא,H3808,5170
221919,Ésaïe,1,6,רֻכְּכָ֖ה,רָכַךְ,H7401,8
221920,Ésaïe,1,6,בַּשָּֽׁמֶן׃,שֶׁ֫מֶן,H8081,193
221921,Ésaïe,1,7,אַרְצְכֶ֣ם,אֶ֫רֶץ,H0776,2504
221922,Ésaïe,1,7,שְׁמָמָ֔ה,שְׁמָמָה,H8077,57
221923,Ésaïe,1,7,עָרֵיכֶ֖ם,עִיר,H5892,1089
221924,Ésaïe,1,7,שְׂרֻפ֣וֹת,שָׂרַף,H8313,117
221925,Ésaïe,1,7,אֵ֑שׁ,אֵשׁ,H0784,378
221926,Ésaïe,1,7,אַדְמַתְכֶ֗ם,אֲדָמָה,H0127,225
221927,Ésaïe,1,7,לְנֶגְדְּכֶם֙,נֶ֫גֶד,H5048,151
221928,Ésaïe,1,7,זָרִים֙,זוּר,H2114,77
221929,Ésaïe,1,7,אֹכְלִ֣ים,אָכַל,H0398,810
221930,Ésaïe,1,7,אֹתָ֔הּ,אֵת,H0853,10947
221931,Ésaïe,1,7,וּשְׁמָמָ֖ה,שְׁמָמָה,H8077,57
221932,Ésaïe,1,7,כְּמַהְפֵּכַ֥ת,מַהְפֵּכָה,H4114,6
221933,Ésaïe,1,7,זָרִֽים׃,זוּר,H2114,77
221934,Ésaïe,1,8,וְנוֹתְרָ֥ה,יָתַר,H3498,106
221935,Ésaïe,1,8,בַת־,בַּת,H1323,588
221936,Ésaïe,1,8,צִיּ֖וֹן,צִיּוֹן,H6726,154
221937,Ésaïe,1,8,כְּסֻכָּ֣ה,סֻכָּה,H5521,31
221938,Ésaïe,1,8,בְכָ֑רֶם,כֶּרֶם,H3754,92
221939,Ésaïe,1,8,כִּמְלוּנָ֥ה,מְלוּנָה,H4412,2
221940,Ésaïe,1,8,בְמִקְשָׁ֖ה,מִקְשָׁה,H4750,2
221941,Ésaïe,1,8,כְּעִ֥יר,עִיר,H5892,1089
221942,Ésaïe,1,8,נְצוּרָֽה׃,נָצַר,H5341,63
221943,Ésaïe,1,9,לוּלֵי֙,לוּלֵא,H3884,14
221944,Ésaïe,1,9,יְהוָ֣ה,יהוה,H3068,6528
221945,Ésaïe,1,9,צְבָא֔וֹת,צָבָא,H6635,484
221946,Ésaïe,1,9,הוֹתִ֥יר,יָתַר,H3498,106
221947,Ésaïe,1,9,שָׂרִ֖יד,שָׂרִיד,H8300,28
221948,Ésaïe,1,9,כִּמְעָ֑ט,מְעַט,H4592,101
221949,Ésaïe,1,9,כִּסְדֹ֣ם,סְדֹם,H5467,39
221950,Ésaïe,1,9,הָיִ֔ינוּ,הָיָה,H1961,3562
221951,Ésaïe,1,9,לַעֲמֹרָ֖ה,עֲמֹרָה,H6017,19
221952,Ésaïe,1,9,דָּמִֽינוּ׃ ס,דָּמָה,H1819,30
