,bhsa2021_word_n,book,chapter,verse,bhsa_text,voc_lex_utf8,HStrong,freq_lex
336024,336025,Job,1,1,אִ֛ישׁ ,אִישׁ,H376,2186
336025,336026,Job,1,1,הָיָ֥ה ,היה,H1961,3561
336026,336027,Job,1,1,בְ,בְּ,H9003,15542
336027,336028,Job,1,1,אֶֽרֶץ־,אֶרֶץ,H776,2504
336028,336029,Job,1,1,ע֖וּץ ,עוּץ,H5780,3
336029,336030,Job,1,1,אִיֹּ֣וב ,אִיֹּוב,H347,58
336030,336031,Job,1,1,שְׁמֹ֑ו ,שֵׁם,H8034,864
336031,336032,Job,1,1,וְ,וְ,H9000,50272
336032,336033,Job,1,1,הָיָ֣ה׀ ,היה,H1961,3561
336033,336034,Job,1,1,הָ,הַ,H9009,30386
336034,336035,Job,1,1,אִ֣ישׁ ,אִישׁ,H376,2186
336035,336036,Job,1,1,הַ,הַ,H9009,30386
336036,336037,Job,1,1,ה֗וּא ,הוּא,H1931,1394
336037,336038,Job,1,1,תָּ֧ם ,תָּם,H8535,16
336038,336039,Job,1,1,וְ,וְ,H9000,50272
336039,336040,Job,1,1,יָשָׁ֛ר ,יָשָׁר,H3477,119
336040,336041,Job,1,1,וִ,וְ,H9000,50272
336041,336042,Job,1,1,ירֵ֥א ,יָרֵא,H3373,49
336042,336043,Job,1,1,אֱלֹהִ֖ים ,אֱלֹהִים,H430,2601
336043,336044,Job,1,1,וְ,וְ,H9000,50272
336044,336045,Job,1,1,סָ֥ר ,סור,H5493,297
336045,336046,Job,1,1,מֵ,מִן,H4480,7562
336046,336047,Job,1,1,רָֽע׃ ,רַע,H7451,347
336047,336048,Job,1,2,וַ,וְ,H9000,50272
336048,336049,Job,1,2,יִּוָּ֥לְדוּ ,ילד,H3205,492
336049,336050,Job,1,2,לֹ֛ו ,לְ,H9005,20069
336050,336051,Job,1,2,שִׁבְעָ֥ה ,שֶׁבַע,H7651,490
336051,336052,Job,1,2,בָנִ֖ים ,בֵּן,H1121,4937
336052,336053,Job,1,2,וְ,וְ,H9000,50272
336053,336054,Job,1,2,שָׁלֹ֥ושׁ ,שָׁלֹשׁ,H7969,602
336054,336055,Job,1,2,בָּנֹֽות׃ ,בַּת,H1323,588
336055,336056,Job,1,3,וַ,וְ,H9000,50272
336056,336057,Job,1,3,יְהִ֣י ,היה,H1961,3561
336057,336058,Job,1,3,מִ֠קְנֵהוּ ,מִקְנֶה,H4735,76
336058,336059,Job,1,3,שִֽׁבְעַ֨ת ,שֶׁבַע,H7651,490
336059,336060,Job,1,3,אַלְפֵי־,אֶלֶף,H505,492
336060,336061,Job,1,3,צֹ֜אן ,צֹאן,H6629,274
336061,336062,Job,1,3,וּ,וְ,H9000,50272
336062,336063,Job,1,3,שְׁלֹ֧שֶׁת ,שָׁלֹשׁ,H7969,602
336063,336064,Job,1,3,אַלְפֵ֣י ,אֶלֶף,H505,492
336064,336065,Job,1,3,גְמַלִּ֗ים ,גָּמָל,H1581,54
336065,336066,Job,1,3,וַ,וְ,H9000,50272
336066,336067,Job,1,3,חֲמֵ֨שׁ ,חָמֵשׁ,H2568,506
336067,336068,Job,1,3,מֵאֹ֤ות ,מֵאָה,H3967,579
336068,336069,Job,1,3,צֶֽמֶד־,צֶמֶד,H6776,15
336069,336070,Job,1,3,בָּקָר֙ ,בָּקָר,H1241,183
336070,336071,Job,1,3,וַ,וְ,H9000,50272
336071,336072,Job,1,3,חֲמֵ֣שׁ ,חָמֵשׁ,H2568,506
336072,336073,Job,1,3,מֵאֹ֣ות ,מֵאָה,H3967,579
336073,336074,Job,1,3,אֲתֹונֹ֔ות ,אָתֹון,H860,34
336074,336075,Job,1,3,וַ,וְ,H9000,50272
336075,336076,Job,1,3,עֲבֻדָּ֖ה ,עֲבֻדָּה,H5657,2
336076,336077,Job,1,3,רַבָּ֣ה ,רַב,H7227,424
336077,336078,Job,1,3,מְאֹ֑ד ,מְאֹד,H3966,300
336078,336079,Job,1,3,וַ,וְ,H9000,50272
336079,336080,Job,1,3,יְהִי֙ ,היה,H1961,3561
336080,336081,Job,1,3,הָ,הַ,H9009,30386
336081,336082,Job,1,3,אִ֣ישׁ ,אִישׁ,H376,2186
336082,336083,Job,1,3,הַ,הַ,H9009,30386
336083,336084,Job,1,3,ה֔וּא ,הוּא,H1931,1394
336084,336085,Job,1,3,גָּדֹ֖ול ,גָּדֹול,H1419,526
336085,336086,Job,1,3,מִ,מִן,H4480,7562
336086,336087,Job,1,3,כָּל־,כֹּל,H3605,5412
336087,336088,Job,1,3,בְּנֵי־,בֵּן,H1121,4937
336088,336089,Job,1,3,קֶֽדֶם׃ ,קֶדֶם,H6924,87
336089,336090,Job,1,4,וְ,וְ,H9000,50272
336090,336091,Job,1,4,הָלְכ֤וּ ,הלך,H1980,1547
336091,336092,Job,1,4,בָנָיו֙ ,בֵּן,H1121,4937
336092,336093,Job,1,4,וְ,וְ,H9000,50272
336093,336094,Job,1,4,עָשׂ֣וּ ,עשׂה,H6213,2629
336094,336095,Job,1,4,מִשְׁתֶּ֔ה ,מִשְׁתֶּה,H4960,46
336095,336096,Job,1,4,בֵּ֖ית ,בַּיִת,H1004,2063
336096,336097,Job,1,4,אִ֣ישׁ ,אִישׁ,H376,2186
