,bhsa2021_word_n,book,chapter,verse,bhsa_text,voc_lex_utf8,HStrong,freq_lex
294067,294068,Joël,1,1,דְּבַר־,דָּבָר,H1697,1441
294068,294069,Joël,1,1,יְהוָה֙ ,יְהוָה,H3068,6828
294069,294070,Joël,1,1,אֲשֶׁ֣ר ,אֲשֶׁר,H834,5500
294070,294071,Joël,1,1,הָיָ֔ה ,היה,H1961,3561
294071,294072,Joël,1,1,אֶל־,אֶל,H413,5517
294072,294073,Joël,1,1,יֹואֵ֖ל ,יֹואֵל,H3100,19
294073,294074,Joël,1,1,בֶּן־,בֵּן,H1121,4937
294074,294075,Joël,1,1,פְּתוּאֵֽל׃ ,פְּתוּאֵל,H6602,1
294075,294076,Joël,1,2,שִׁמְעוּ־,שׁמע,H8085,1159
294076,294077,Joël,1,2,זֹאת֙ ,זֹאת,H2063,604
294077,294078,Joël,1,2,הַ,הַ,H9009,30386
294078,294079,Joël,1,2,זְּקֵנִ֔ים ,זָקֵן,H2205,181
294079,294080,Joël,1,2,וְ,וְ,H9000,50272
294080,294081,Joël,1,2,הַֽאֲזִ֔ינוּ ,אזן,H238,41
294081,294082,Joël,1,2,כֹּ֖ל ,כֹּל,H3605,5412
294082,294083,Joël,1,2,יֹושְׁבֵ֣י ,ישׁב,H3427,1082
294083,294084,Joël,1,2,הָ,הַ,H9009,30386
294084,294085,Joël,1,2,אָ֑רֶץ ,אֶרֶץ,H776,2504
294085,294086,Joël,1,2,הֶ,הֲ,H9008,743
294086,294087,Joël,1,2,הָ֤יְתָה ,היה,H1961,3561
294087,294088,Joël,1,2,זֹּאת֙ ,זֹאת,H2063,604
294088,294089,Joël,1,2,בִּֽ,בְּ,H9003,15542
294089,294090,Joël,1,2,ימֵיכֶ֔ם ,יֹום,H3117,2304
294090,294091,Joël,1,2,וְ,וְ,H9000,50272
294091,294092,Joël,1,2,אִ֖ם ,אִם,H518,1068
294092,294093,Joël,1,2,בִּ,בְּ,H9003,15542
294093,294094,Joël,1,2,ימֵ֥י ,יֹום,H3117,2304
294094,294095,Joël,1,2,אֲבֹֽתֵיכֶֽם׃ ,אָב,H1,1217
294095,294096,Joël,1,3,עָלֶ֖יהָ ,עַל,H5921,5766
294096,294097,Joël,1,3,לִ,לְ,H9005,20069
294097,294098,Joël,1,3,בְנֵיכֶ֣ם ,בֵּן,H1121,4937
294098,294099,Joël,1,3,סַפֵּ֑רוּ ,ספר,H5608,108
294099,294100,Joël,1,3,וּ,וְ,H9000,50272
294100,294101,Joël,1,3,בְנֵיכֶם֙ ,בֵּן,H1121,4937
294101,294102,Joël,1,3,לִ,לְ,H9005,20069
294102,294103,Joël,1,3,בְנֵיהֶ֔ם ,בֵּן,H1121,4937
294103,294104,Joël,1,3,וּ,וְ,H9000,50272
294104,294105,Joël,1,3,בְנֵיהֶ֖ם ,בֵּן,H1121,4937
294105,294106,Joël,1,3,לְ,לְ,H9005,20069
294106,294107,Joël,1,3,דֹ֥ור ,דֹּור,H1755,166
294107,294108,Joël,1,3,אַחֵֽר׃ ,אַחֵר,H312,166
294108,294109,Joël,1,4,יֶ֤תֶר ,יֶתֶר,H3499,95
294109,294110,Joël,1,4,הַ,הַ,H9009,30386
294110,294111,Joël,1,4,גָּזָם֙ ,גָּזָם,H1501,3
294111,294112,Joël,1,4,אָכַ֣ל ,אכל,H398,810
294112,294113,Joël,1,4,הָֽ,הַ,H9009,30386
294113,294114,Joël,1,4,אַרְבֶּ֔ה ,אַרְבֶּה,H697,24
294114,294115,Joël,1,4,וְ,וְ,H9000,50272
294115,294116,Joël,1,4,יֶ֥תֶר ,יֶתֶר,H3499,95
294116,294117,Joël,1,4,הָ,הַ,H9009,30386
294117,294118,Joël,1,4,אַרְבֶּ֖ה ,אַרְבֶּה,H697,24
294118,294119,Joël,1,4,אָכַ֣ל ,אכל,H398,810
294119,294120,Joël,1,4,הַ,הַ,H9009,30386
294120,294121,Joël,1,4,יָּ֑לֶק ,יֶלֶק,H3218,9
294121,294122,Joël,1,4,וְ,וְ,H9000,50272
294122,294123,Joël,1,4,יֶ֣תֶר ,יֶתֶר,H3499,95
294123,294124,Joël,1,4,הַ,הַ,H9009,30386
294124,294125,Joël,1,4,יֶּ֔לֶק ,יֶלֶק,H3218,9
294125,294126,Joël,1,4,אָכַ֖ל ,אכל,H398,810
294126,294127,Joël,1,4,הֶ,הַ,H9009,30386
294127,294128,Joël,1,4,חָסִֽיל׃ ,חָסִיל,H2625,6
294128,294129,Joël,1,5,הָקִ֤יצוּ ,קיץ,H6974,22
294129,294130,Joël,1,5,שִׁכֹּורִים֙ ,שִׁכֹּור,H7910,13
294130,294131,Joël,1,5,וּ,וְ,H9000,50272
294131,294132,Joël,1,5,בְכ֔וּ ,בכה,H1058,114
294132,294133,Joël,1,5,וְ,וְ,H9000,50272
294133,294134,Joël,1,5,הֵילִ֖לוּ ,ילל,H3213,30
