,bhsa2021_word_n,book,chapter,verse,bhsa_text,voc_lex_utf8,HStrong,freq_lex
235003,235004,Jérémie,1,1,דִּבְרֵ֥י ,דָּבָר,H1697,1441
235004,235005,Jérémie,1,1,יִרְמְיָ֖הוּ ,יִרְמְיָהוּ,H3414,129
235005,235006,Jérémie,1,1,בֶּן־,בֵּן,H1121,4937
235006,235007,Jérémie,1,1,חִלְקִיָּ֑הוּ ,חִלְקִיָּהוּ,H2518,19
235007,235008,Jérémie,1,1,מִן־,מִן,H4480,7562
235008,235009,Jérémie,1,1,הַ,הַ,H9009,30386
235009,235010,Jérémie,1,1,כֹּֽהֲנִים֙ ,כֹּהֵן,H3548,750
235010,235011,Jérémie,1,1,אֲשֶׁ֣ר ,אֲשֶׁר,H834,5500
235011,235012,Jérémie,1,1,בַּ,בְּ,H9003,15542
235012,235013,Jérémie,1,1,עֲנָתֹ֔ות ,עֲנָתֹות,H6068,13
235013,235014,Jérémie,1,1,בְּ,בְּ,H9003,15542
235014,235015,Jérémie,1,1,אֶ֖רֶץ ,אֶרֶץ,H776,2504
235015,235016,Jérémie,1,1,בִּנְיָמִֽן׃ ,בִּנְיָמִן,H1144,166
235016,235017,Jérémie,1,2,אֲשֶׁ֨ר ,אֲשֶׁר,H834,5500
235017,235018,Jérémie,1,2,הָיָ֤ה ,היה,H1961,3561
235018,235019,Jérémie,1,2,דְבַר־,דָּבָר,H1697,1441
235019,235020,Jérémie,1,2,יְהוָה֙ ,יְהוָה,H3068,6828
235020,235021,Jérémie,1,2,אֵלָ֔יו ,אֶל,H413,5517
235021,235022,Jérémie,1,2,בִּ,בְּ,H9003,15542
235022,235023,Jérémie,1,2,ימֵ֛י ,יֹום,H3117,2304
235023,235024,Jérémie,1,2,יֹאשִׁיָּ֥הוּ ,יֹאשִׁיָּהוּ,H2977,52
235024,235025,Jérémie,1,2,בֶן־,בֵּן,H1121,4937
235025,235026,Jérémie,1,2,אָמֹ֖ון ,אָמֹון,H526,17
