,bhsa2021_word_n,book,chapter,verse,bhsa_text,voc_lex_utf8,HStrong,freq_lex
301437,301438,Nahum,1,1,מַשָּׂ֖א ,מַשָּׂא,H4853,22
301438,301439,Nahum,1,1,נִֽינְוֵ֑ה ,נִינְוֵה,H5210,17
301439,301440,Nahum,1,1,סֵ֧פֶר ,סֵפֶר,H5612,185
301440,301441,Nahum,1,1,חֲזֹ֛ון ,חָזֹון,H2377,35
301441,301442,Nahum,1,1,נַח֖וּם ,נַחוּם,H5151,1
301442,301443,Nahum,1,1,הָ,הַ,H9009,30386
301443,301444,Nahum,1,1,אֶלְקֹשִֽׁי׃ ,אֶלְקֹשִׁי,H512,1
301444,301445,Nahum,1,2,אֵ֣ל ,אֵל,H410,235
301445,301446,Nahum,1,2,קַנֹּ֤וא ,קַנֹּוא,H7072,2
301446,301447,Nahum,1,2,וְ,וְ,H9000,50272
301447,301448,Nahum,1,2,נֹקֵם֙ ,נקם,H5358,35
301448,301449,Nahum,1,2,יְהוָ֔ה ,יְהוָה,H3069,6828
301449,301450,Nahum,1,2,נֹקֵ֥ם ,נקם,H5358,35
301450,301451,Nahum,1,2,יְהוָ֖ה ,יְהוָה,H3069,6828
301451,301452,Nahum,1,2,וּ,וְ,H9000,50272
301452,301453,Nahum,1,2,בַ֣עַל ,בַּעַל,H1167,164
301453,301454,Nahum,1,2,חֵמָ֑ה ,חֵמָה,H2534,125
301454,301455,Nahum,1,2,נֹקֵ֤ם ,נקם,H5358,35
301455,301456,Nahum,1,2,יְהוָה֙ ,יְהוָה,H3069,6828
301456,301457,Nahum,1,2,לְ,לְ,H9005,20069
301457,301458,Nahum,1,2,צָרָ֔יו ,צַר,H6862,71
301458,301459,Nahum,1,2,וְ,וְ,H9000,50272
301459,301460,Nahum,1,2,נֹוטֵ֥ר ,נטר,H5201,5
301460,301461,Nahum,1,2,ה֖וּא ,הוּא,H1931,1394
301461,301462,Nahum,1,2,לְ,לְ,H9005,20069
301462,301463,Nahum,1,2,אֹיְבָֽיו׃ ,איב,H341,283
301463,301464,Nahum,1,3,יְהֹוָ֗ה ,יְהוָה,H3068,6828
301464,301465,Nahum,1,3,אֶ֤רֶךְ ,אָרֵךְ,H750,15
301465,301466,Nahum,1,3,אַפַּ֨יִם֙ ,אַף,H639,277
301466,301467,Nahum,1,3,<QR>וּ<qr>,וְ,H9000,50272
301467,301468,Nahum,1,3,<QR>גְדָל־<qr>,גָּדֹול,H1419,526
301468,301469,Nahum,1,3,כֹּ֔חַ ,כֹּחַ,H1419,125
301469,301470,Nahum,1,3,וְ,וְ,H9000,50272
301470,301471,Nahum,1,3,נַקֵּ֖ה ,נקה,H5352,44
301471,301472,Nahum,1,3,לֹ֣א ,לֹא,H3808,5167
301472,301473,Nahum,1,3,יְנַקֶּ֑ה ,נקה,H5352,44
301473,301474,Nahum,1,3,יְהוָ֗ה ,יְהוָה,H3068,6828
