,bhsa2021_word_n,book,chapter,verse,bhsa_text,voc_lex_utf8,HStrong,freq_lex
303080,303081,Sophonie,1,1,דְּבַר־,דָּבָר,H1697,1441
303081,303082,Sophonie,1,1,יְהוָ֣ה׀ ,יְהוָה,H3068,6828
303082,303083,Sophonie,1,1,אֲשֶׁ֣ר ,אֲשֶׁר,H834,5500
303083,303084,Sophonie,1,1,הָיָ֗ה ,היה,H1961,3561
303084,303085,Sophonie,1,1,אֶל־,אֶל,H413,5517
303085,303086,Sophonie,1,1,צְפַנְיָה֙ ,צְפַנְיָה,H6846,8
303086,303087,Sophonie,1,1,בֶּן־,בֵּן,H1121,4937
303087,303088,Sophonie,1,1,כּוּשִׁ֣י ,כּוּשִׁי,H3569,2
303088,303089,Sophonie,1,1,בֶן־,בֵּן,H1121,4937
303089,303090,Sophonie,1,1,גְּדַלְיָ֔ה ,גְּדַלְיָה,H1436,6
303090,303091,Sophonie,1,1,בֶּן־,בֵּן,H1121,4937
303091,303092,Sophonie,1,1,אֲמַרְיָ֖ה ,אֲמַרְיָה,H568,13
303092,303093,Sophonie,1,1,בֶּן־,בֵּן,H1121,4937
303093,303094,Sophonie,1,1,חִזְקִיָּ֑ה ,חִזְקִיָּה,H2396,13
303094,303095,Sophonie,1,1,בִּ,בְּ,H9003,15542
303095,303096,Sophonie,1,1,ימֵ֛י ,יֹום,H3117,2304
303096,303097,Sophonie,1,1,יֹאשִׁיָּ֥הוּ ,יֹאשִׁיָּהוּ,H2977,52
303097,303098,Sophonie,1,1,בֶן־,בֵּן,H1121,4937
303098,303099,Sophonie,1,1,אָמֹ֖ון ,אָמֹון,H526,17
303099,303100,Sophonie,1,1,מֶ֥לֶךְ ,מֶלֶךְ,H4428,2523
303100,303101,Sophonie,1,1,יְהוּדָֽה׃ ,יְהוּדָה,H3063,819
303101,303102,Sophonie,1,2,אָסֹ֨ף ,אסף,H622,204
303102,303103,Sophonie,1,2,אָסֵ֜ף ,אסף,H622,204
303103,303104,Sophonie,1,2,כֹּ֗ל ,כֹּל,H3605,5412
303104,303105,Sophonie,1,2,מֵ,מִן,H4480,7562
303105,303106,Sophonie,1,2,עַ֛ל ,עַל,H5921,5766
303106,303107,Sophonie,1,2,פְּנֵ֥י ,פָּנֶה,H6440,2127
