,bhsa2021_word_n,book,chapter,verse,bhsa_text,voc_lex_utf8,HStrong,freq_lex
141539,141540,1 Samuel,1,1,וַ,וְ,H9000,50272
141540,141541,1 Samuel,1,1,יְהִי֩ ,היה,H1961,3561
141541,141542,1 Samuel,1,1,אִ֨ישׁ ,אִישׁ,H376,2186
141542,141543,1 Samuel,1,1,אֶחָ֜ד ,אֶחָד,H259,970
141543,141544,1 Samuel,1,1,מִן־,מִן,H4480,7562
141544,141545,1 Samuel,1,1,הָ,הַ,H9009,30386
141545,141546,1 Samuel,1,1,רָמָתַ֛יִם ,רָמָה,H7413,9
141546,141547,1 Samuel,1,1,צֹופִ֖ים ,צפה,H7436,37
141547,141548,1 Samuel,1,1,מֵ,מִן,H4480,7562
141548,141549,1 Samuel,1,1,הַ֣ר ,הַר,H2022,558
141549,141550,1 Samuel,1,1,אֶפְרָ֑יִם ,אֶפְרַיִם,H669,180
141550,141551,1 Samuel,1,1,וּ,וְ,H9000,50272
141551,141552,1 Samuel,1,1,שְׁמֹ֡ו ,שֵׁם,H8034,864
141552,141553,1 Samuel,1,1,אֶ֠לְקָנָה ,אֶלְקָנָה,H511,21
141553,141554,1 Samuel,1,1,בֶּן־,בֵּן,H1121,4937
141554,141555,1 Samuel,1,1,יְרֹחָ֧ם ,יְרֹחָם,H3395,10
141555,141556,1 Samuel,1,1,בֶּן־,בֵּן,H1121,4937
141556,141557,1 Samuel,1,1,אֱלִיה֛וּא ,אֱלִיהוּא,H453,9
141557,141558,1 Samuel,1,1,בֶּן־,בֵּן,H1121,4937
141558,141559,1 Samuel,1,1,תֹּ֥חוּ ,תֹּחוּ,H8459,1
141559,141560,1 Samuel,1,1,בֶן־,בֵּן,H1121,4937
141560,141561,1 Samuel,1,1,צ֖וּף ,צוּף,H6689,3
141561,141562,1 Samuel,1,1,אֶפְרָתִֽי׃ ,אֶפְרָתִי,H673,5
141562,141563,1 Samuel,1,2,וְ,וְ,H9000,50272
141563,141564,1 Samuel,1,2,לֹו֙ ,לְ,H9005,20069
141564,141565,1 Samuel,1,2,שְׁתֵּ֣י ,שְׁנַיִם,H8147,768
141565,141566,1 Samuel,1,2,נָשִׁ֔ים ,אִשָּׁה,H802,781
141566,141567,1 Samuel,1,2,שֵׁ֤ם ,שֵׁם,H8034,864
141567,141568,1 Samuel,1,2,אַחַת֙ ,אֶחָד,H259,970
141568,141569,1 Samuel,1,2,חַנָּ֔ה ,חַנָּה,H2584,13
141569,141570,1 Samuel,1,2,וְ,וְ,H9000,50272
141570,141571,1 Samuel,1,2,שֵׁ֥ם ,שֵׁם,H8034,864
141571,141572,1 Samuel,1,2,הַ,הַ,H9009,30386
141572,141573,1 Samuel,1,2,שֵּׁנִ֖ית ,שֵׁנִי,H8145,156
141573,141574,1 Samuel,1,2,פְּנִנָּ֑ה ,פְּנִנָּה,H6444,3
141574,141575,1 Samuel,1,2,וַ,וְ,H9000,50272
141575,141576,1 Samuel,1,2,יְהִ֤י ,היה,H1961,3561
141576,141577,1 Samuel,1,2,לִ,לְ,H9005,20069
141577,141578,1 Samuel,1,2,פְנִנָּה֙ ,פְּנִנָּה,H6444,3
141578,141579,1 Samuel,1,2,יְלָדִ֔ים ,יֶלֶד,H3206,89
141579,141580,1 Samuel,1,2,וּ,וְ,H9000,50272
141580,141581,1 Samuel,1,2,לְ,לְ,H9005,20069
141581,141582,1 Samuel,1,2,חַנָּ֖ה ,חַנָּה,H2584,13
141582,141583,1 Samuel,1,2,אֵ֥ין ,אַיִן,H369,788
141583,141584,1 Samuel,1,2,יְלָדִֽים׃ ,יֶלֶד,H3206,89
141584,141585,1 Samuel,1,3,וְ,וְ,H9000,50272
141585,141586,1 Samuel,1,3,עָלָה֩ ,עלה,H5927,890
141586,141587,1 Samuel,1,3,הָ,הַ,H9009,30386
141587,141588,1 Samuel,1,3,אִ֨ישׁ ,אִישׁ,H376,2186
141588,141589,1 Samuel,1,3,הַ,הַ,H9009,30386
141589,141590,1 Samuel,1,3,ה֤וּא ,הוּא,H1931,1394
141590,141591,1 Samuel,1,3,מֵֽ,מִן,H4480,7562
141591,141592,1 Samuel,1,3,עִירֹו֙ ,עִיר,H5892,1090
141592,141593,1 Samuel,1,3,מִ,מִן,H4480,7562
141593,141594,1 Samuel,1,3,יָּמִ֣ים׀ ,יֹום,H3117,2304
141594,141595,1 Samuel,1,3,יָמִ֔ימָה ,יֹום,H3117,2304
