,bhsa2021_word_n,book,chapter,verse,bhsa_text,voc_lex_utf8,HStrong,freq_lex
295385,295386,Amos,1,1,דִּבְרֵ֣י ,דָּבָר,H1697,1441
295386,295387,Amos,1,1,עָמֹ֔וס ,עָמֹוס,H5986,7
295387,295388,Amos,1,1,אֲשֶׁר־,אֲשֶׁר,H834,5500
295388,295389,Amos,1,1,הָיָ֥ה ,היה,H1961,3561
295389,295390,Amos,1,1,בַ,בְּ,H9003,15542
295390,295391,Amos,1,1,,הַ,H9009,30386
295391,295392,Amos,1,1,נֹּקְדִ֖ים ,נֹקֵד,H5349,2
295392,295393,Amos,1,1,מִ,מִן,H4480,7562
295393,295394,Amos,1,1,תְּקֹ֑ועַ ,תְּקֹועַ,H8620,7
295394,295395,Amos,1,1,אֲשֶׁר֩ ,אֲשֶׁר,H834,5500
295395,295396,Amos,1,1,חָזָ֨ה ,חזה,H2372,54
295396,295397,Amos,1,1,עַל־,עַל,H5921,5766
295397,295398,Amos,1,1,יִשְׂרָאֵ֜ל ,יִשְׂרָאֵל,H3478,2506
295398,295399,Amos,1,1,בִּ,בְּ,H9003,15542
295399,295400,Amos,1,1,ימֵ֣י׀ ,יֹום,H3117,2304
295400,295401,Amos,1,1,עֻזִּיָּ֣ה ,עֻזִּיָּה,H5818,8
295401,295402,Amos,1,1,מֶֽלֶךְ־,מֶלֶךְ,H4428,2523
295402,295403,Amos,1,1,יְהוּדָ֗ה ,יְהוּדָה,H3063,819
295403,295404,Amos,1,1,וּ,וְ,H9000,50272
295404,295405,Amos,1,1,בִ,בְּ,H9003,15542
295405,295406,Amos,1,1,ימֵ֞י ,יֹום,H3117,2304
295406,295407,Amos,1,1,יָרָבְעָ֤ם ,יָרָבְעָם,H3379,104
295407,295408,Amos,1,1,בֶּן־,בֵּן,H1121,4937
295408,295409,Amos,1,1,יֹואָשׁ֙ ,יֹואָשׁ,H3101,47
295409,295410,Amos,1,1,מֶ֣לֶךְ ,מֶלֶךְ,H4428,2523
295410,295411,Amos,1,1,יִשְׂרָאֵ֔ל ,יִשְׂרָאֵל,H3478,2506
295411,295412,Amos,1,1,שְׁנָתַ֖יִם ,שָׁנָה,H8141,876
295412,295413,Amos,1,1,לִ,לְ,H9005,20069
295413,295414,Amos,1,1,פְנֵ֥י ,פָּנֶה,H6440,2127
295414,295415,Amos,1,1,הָ,הַ,H9009,30386
295415,295416,Amos,1,1,רָֽעַשׁ׃ ,רַעַשׁ,H7494,17
295416,295417,Amos,1,2,וַ,וְ,H9000,50272
295417,295418,Amos,1,2,יֹּאמַ֓ר׀ ,אמר,H559,5307
295418,295419,Amos,1,2,יְהוָה֙ ,יְהוָה,H3068,6828
295419,295420,Amos,1,2,מִ,מִן,H4480,7562
295420,295421,Amos,1,2,צִּיֹּ֣ון ,צִיֹּון,H6726,154
295421,295422,Amos,1,2,יִשְׁאָ֔ג ,שׁאג,H7580,20
295422,295423,Amos,1,2,וּ,וְ,H9000,50272
295423,295424,Amos,1,2,מִ,מִן,H4480,7562
295424,295425,Amos,1,2,ירוּשָׁלִַ֖ם ,יְרוּשָׁלִַם,H3389,643
295425,295426,Amos,1,2,יִתֵּ֣ן ,נתן,H5414,2010
295426,295427,Amos,1,2,קֹולֹ֑ו ,קֹול,H6963,505
295427,295428,Amos,1,2,וְ,וְ,H9000,50272
295428,295429,Amos,1,2,אָֽבְלוּ֙ ,אבל,H56,3
295429,295430,Amos,1,2,נְאֹ֣ות ,נָוָה,H4999,14
295430,295431,Amos,1,2,הָ,הַ,H9009,30386
295431,295432,Amos,1,2,רֹעִ֔ים ,רעה,H7462,168
295432,295433,Amos,1,2,וְ,וְ,H9000,50272
295433,295434,Amos,1,2,יָבֵ֖שׁ ,יבשׁ,H3001,77
295434,295435,Amos,1,2,רֹ֥אשׁ ,רֹאשׁ,H7218,599
295435,295436,Amos,1,2,הַ,הַ,H9009,30386
