,bhsa2021_word_n,book,chapter,verse,bhsa_text,voc_lex_utf8,HStrong,freq_lex
359279,359280,Ecclésiastes,1,1,דִּבְרֵי֙ ,דָּבָר,H1697,1441
359280,359281,Ecclésiastes,1,1,קֹהֶ֣לֶת ,קֹהֶלֶת,H6953,7
359281,359282,Ecclésiastes,1,1,בֶּן־,בֵּן,H1121,4937
359282,359283,Ecclésiastes,1,1,דָּוִ֔ד ,דָּוִד,H1732,1075
359283,359284,Ecclésiastes,1,1,מֶ֖לֶךְ ,מֶלֶךְ,H4428,2523
359284,359285,Ecclésiastes,1,1,בִּ,בְּ,H9003,15542
359285,359286,Ecclésiastes,1,1,ירוּשָׁלִָֽם׃ ,יְרוּשָׁלִַם,H3389,643
359286,359287,Ecclésiastes,1,2,הֲבֵ֤ל ,הֶבֶל,H1892,73
359287,359288,Ecclésiastes,1,2,הֲבָלִים֙ ,הֶבֶל,H1892,73
359288,359289,Ecclésiastes,1,2,אָמַ֣ר ,אמר,H559,5307
359289,359290,Ecclésiastes,1,2,קֹהֶ֔לֶת ,קֹהֶלֶת,H6953,7
359290,359291,Ecclésiastes,1,2,הֲבֵ֥ל ,הֶבֶל,H1892,73
359291,359292,Ecclésiastes,1,2,הֲבָלִ֖ים ,הֶבֶל,H1892,73
359292,359293,Ecclésiastes,1,2,הַ,הַ,H9009,30386
359293,359294,Ecclésiastes,1,2,כֹּ֥ל ,כֹּל,H3605,5412
359294,359295,Ecclésiastes,1,2,הָֽבֶל׃ ,הֶבֶל,H1892,73
359295,359296,Ecclésiastes,1,3,מַה־,מָה,H4100,573
359296,359297,Ecclésiastes,1,3,יִּתְרֹ֖ון ,יִתְרֹון,H3504,10
359297,359298,Ecclésiastes,1,3,לָֽ,לְ,H9005,20069
359298,359299,Ecclésiastes,1,3,,הַ,H9009,30386
359299,359300,Ecclésiastes,1,3,אָדָ֑ם ,אָדָם,H120,553
359300,359301,Ecclésiastes,1,3,בְּ,בְּ,H9003,15542
359301,359302,Ecclésiastes,1,3,כָל־,כֹּל,H3605,5412
359302,359303,Ecclésiastes,1,3,עֲמָלֹ֔ו ,עָמָל,H5999,55
359303,359304,Ecclésiastes,1,3,שֶֽׁ,שַׁ,H5998,138
359304,359305,Ecclésiastes,1,3,יַּעֲמֹ֖ל ,עמל,H5998,11
359305,359306,Ecclésiastes,1,3,תַּ֥חַת ,תַּחַת,H8478,505
359306,359307,Ecclésiastes,1,3,הַ,הַ,H9009,30386
359307,359308,Ecclésiastes,1,3,שָּֽׁמֶשׁ׃ ,שֶׁמֶשׁ,H8121,135
359308,359309,Ecclésiastes,1,4,דֹּ֤ור ,דֹּור,H1755,166
359309,359310,Ecclésiastes,1,4,הֹלֵךְ֙ ,הלך,H1980,1547
359310,359311,Ecclésiastes,1,4,וְ,וְ,H9000,50272
359311,359312,Ecclésiastes,1,4,דֹ֣ור ,דֹּור,H1755,166
359312,359313,Ecclésiastes,1,4,בָּ֔א ,בוא,H935,2570
359313,359314,Ecclésiastes,1,4,וְ,וְ,H9000,50272
359314,359315,Ecclésiastes,1,4,הָ,הַ,H9009,30386
359315,359316,Ecclésiastes,1,4,אָ֖רֶץ ,אֶרֶץ,H776,2504
359316,359317,Ecclésiastes,1,4,לְ,לְ,H9005,20069
359317,359318,Ecclésiastes,1,4,עֹולָ֥ם ,עֹולָם,H5769,438
359318,359319,Ecclésiastes,1,4,עֹמָֽדֶת׃ ,עמד,H5975,521
359319,359320,Ecclésiastes,1,5,וְ,וְ,H9000,50272
359320,359321,Ecclésiastes,1,5,זָרַ֥ח ,זרח,H2224,18
359321,359322,Ecclésiastes,1,5,הַ,הַ,H9009,30386
359322,359323,Ecclésiastes,1,5,שֶּׁ֖מֶשׁ ,שֶׁמֶשׁ,H8121,135
359323,359324,Ecclésiastes,1,5,וּ,וְ,H9000,50272
359324,359325,Ecclésiastes,1,5,בָ֣א ,בוא,H935,2570
359325,359326,Ecclésiastes,1,5,הַ,הַ,H9009,30386
359326,359327,Ecclésiastes,1,5,שָּׁ֑מֶשׁ ,שֶׁמֶשׁ,H8121,135
359327,359328,Ecclésiastes,1,5,וְ,וְ,H9000,50272
359328,359329,Ecclésiastes,1,5,אֶ֨ל־,אֶל,H413,5517
359329,359330,Ecclésiastes,1,5,מְקֹומֹ֔ו ,מָקֹום,H4725,401
359330,359331,Ecclésiastes,1,5,שֹׁואֵ֛ף ,שׁאף,H7602,14
359331,359332,Ecclésiastes,1,5,זֹורֵ֥חַֽ ,זרח,H2224,18
359332,359333,Ecclésiastes,1,5,ה֖וּא ,הוּא,H1931,1394
359333,359334,Ecclésiastes,1,5,שָֽׁם׃ ,שָׁם,H8033,834
359334,359335,Ecclésiastes,1,6,הֹולֵךְ֙ ,הלך,H1980,1547
359335,359336,Ecclésiastes,1,6,אֶל־,אֶל,H413,5517
359336,359337,Ecclésiastes,1,6,דָּרֹ֔ום ,דָּרֹום,H1864,17
359337,359338,Ecclésiastes,1,6,וְ,וְ,H9000,50272
359338,359339,Ecclésiastes,1,6,סֹובֵ֖ב ,סבב,H5437,161
359339,359340,Ecclésiastes,1,6,אֶל־,אֶל,H413,5517
359340,359341,Ecclésiastes,1,6,צָפֹ֑ון ,צָפֹון,H6828,152
359341,359342,Ecclésiastes,1,6,סֹובֵ֤ב׀ ,סבב,H5437,161
359342,359343,Ecclésiastes,1,6,סֹבֵב֙ ,סבב,H5437,161
359343,359344,Ecclésiastes,1,6,הֹולֵ֣ךְ ,הלך,H1980,1547
359344,359345,Ecclésiastes,1,6,הָ,הַ,H9009,30386
359345,359346,Ecclésiastes,1,6,ר֔וּחַ ,רוּחַ,H7307,378
359346,359347,Ecclésiastes,1,6,וְ,וְ,H9000,50272
359347,359348,Ecclésiastes,1,6,עַל־,עַל,H5921,5766
359348,359349,Ecclésiastes,1,6,סְבִיבֹתָ֖יו ,סָבִיב,H5439,336
359349,359350,Ecclésiastes,1,6,שָׁ֥ב ,שׁוב,H7725,1038
359350,359351,Ecclésiastes,1,6,הָ,הַ,H9009,30386
359351,359352,Ecclésiastes,1,6,רֽוּחַ׃ ,רוּחַ,H7307,378
359352,359353,Ecclésiastes,1,7,כָּל־,כֹּל,H3605,5412
359353,359354,Ecclésiastes,1,7,הַ,הַ,H9009,30386
359354,359355,Ecclésiastes,1,7,נְּחָלִים֙ ,נַחַל,H5158,139
359355,359356,Ecclésiastes,1,7,הֹלְכִ֣ים ,הלך,H1980,1547
359356,359357,Ecclésiastes,1,7,אֶל־,אֶל,H413,5517
359357,359358,Ecclésiastes,1,7,הַ,הַ,H9009,30386
359358,359359,Ecclésiastes,1,7,יָּ֔ם ,יָם,H3220,396
359359,359360,Ecclésiastes,1,7,וְ,וְ,H9000,50272
359360,359361,Ecclésiastes,1,7,הַ,הַ,H9009,30386
359361,359362,Ecclésiastes,1,7,יָּ֖ם ,יָם,H3220,396
359362,359363,Ecclésiastes,1,7,אֵינֶ֣נּוּ ,אַיִן,H369,788
359363,359364,Ecclésiastes,1,7,מָלֵ֑א ,מָלֵא,H4392,21
359364,359365,Ecclésiastes,1,7,אֶל־,אֶל,H413,5517
359365,359366,Ecclésiastes,1,7,מְקֹ֗ום ,מָקֹום,H4725,401
359366,359367,Ecclésiastes,1,7,שֶׁ֤,שַׁ,H5158,138
359367,359368,Ecclésiastes,1,7,הַ,הַ,H9009,30386
359368,359369,Ecclésiastes,1,7,נְּחָלִים֙ ,נַחַל,H5158,139
359369,359370,Ecclésiastes,1,7,הֹֽלְכִ֔ים ,הלך,H1980,1547
359370,359371,Ecclésiastes,1,7,שָׁ֛ם ,שָׁם,H8033,834
359371,359372,Ecclésiastes,1,7,הֵ֥ם ,הֵם,H1992,269
359372,359373,Ecclésiastes,1,7,שָׁבִ֖ים ,שׁוב,H7725,1038
359373,359374,Ecclésiastes,1,7,לָ,לְ,H9005,20069
359374,359375,Ecclésiastes,1,7,לָֽכֶת׃ ,הלך,H1980,1547
359375,359376,Ecclésiastes,1,8,כָּל־,כֹּל,H3605,5412
359376,359377,Ecclésiastes,1,8,הַ,הַ,H9009,30386
359377,359378,Ecclésiastes,1,8,דְּבָרִ֣ים ,דָּבָר,H1697,1441
359378,359379,Ecclésiastes,1,8,יְגֵעִ֔ים ,יָגֵעַ,H3023,3
359379,359380,Ecclésiastes,1,8,לֹא־,לֹא,H3808,5167
359380,359381,Ecclésiastes,1,8,יוּכַ֥ל ,יכל,H3201,193
359381,359382,Ecclésiastes,1,8,אִ֖ישׁ ,אִישׁ,H376,2186
359382,359383,Ecclésiastes,1,8,לְ,לְ,H9005,20069
359383,359384,Ecclésiastes,1,8,דַבֵּ֑ר ,דבר,H1696,1138
359384,359385,Ecclésiastes,1,8,לֹא־,לֹא,H3808,5167
359385,359386,Ecclésiastes,1,8,תִשְׂבַּ֥ע ,שׂבע,H7646,97
359386,359387,Ecclésiastes,1,8,עַ֨יִן֙ ,עַיִן,H5869,887
359387,359388,Ecclésiastes,1,8,לִ,לְ,H9005,20069
359388,359389,Ecclésiastes,1,8,רְאֹ֔ות ,ראה,H7200,1298
359389,359390,Ecclésiastes,1,8,וְ,וְ,H9000,50272
359390,359391,Ecclésiastes,1,8,לֹא־,לֹא,H3808,5167
359391,359392,Ecclésiastes,1,8,תִמָּלֵ֥א ,מלא,H4390,292
359392,359393,Ecclésiastes,1,8,אֹ֖זֶן ,אֹזֶן,H241,187
359393,359394,Ecclésiastes,1,8,מִ,מִן,H4480,7562
359394,359395,Ecclésiastes,1,8,שְּׁמֹֽעַ׃ ,שׁמע,H8085,1159
359395,359396,Ecclésiastes,1,9,מַה־,מָה,H4100,573
359396,359397,Ecclésiastes,1,9,שֶּֽׁ,שַׁ,H7945,138
359397,359398,Ecclésiastes,1,9,הָיָה֙ ,היה,H1961,3561
359398,359399,Ecclésiastes,1,9,ה֣וּא ,הוּא,H1931,1394
359399,359400,Ecclésiastes,1,9,שֶׁ,שַׁ,H7945,138
359400,359401,Ecclésiastes,1,9,יִּהְיֶ֔ה ,היה,H1961,3561
359401,359402,Ecclésiastes,1,9,וּ,וְ,H9000,50272
359402,359403,Ecclésiastes,1,9,מַה־,מָה,H4100,573
