,bhsa2021_word_n,book,chapter,verse,bhsa_text,voc_lex_utf8,HStrong,freq_lex
290921,290922,Osée,1,1,דְּבַר־,דָּבָר,H1697,1441
290922,290923,Osée,1,1,יְהוָ֣ה׀ ,יְהוָה,H3068,6828
290923,290924,Osée,1,1,אֲשֶׁ֣ר ,אֲשֶׁר,H834,5500
290924,290925,Osée,1,1,הָיָ֗ה ,היה,H1961,3561
290925,290926,Osée,1,1,אֶל־,אֶל,H413,5517
290926,290927,Osée,1,1,הֹושֵׁ֨עַ֙ ,הֹושֵׁעַ,H1954,16
290927,290928,Osée,1,1,בֶּן־,בֵּן,H1121,4937
290928,290929,Osée,1,1,בְּאֵרִ֔י ,בְּאֵרִי,H882,2
290929,290930,Osée,1,1,בִּ,בְּ,H9003,15542
290930,290931,Osée,1,1,ימֵ֨י ,יֹום,H3117,2304
290931,290932,Osée,1,1,עֻזִּיָּ֥ה ,עֻזִּיָּה,H5818,8
290932,290933,Osée,1,1,יֹותָ֛ם ,יֹותָם,H3147,24
290933,290934,Osée,1,1,אָחָ֥ז ,אָחָז,H271,41
290934,290935,Osée,1,1,יְחִזְקִיָּ֖ה ,יְחִזְקִיָּה,H2396,3
290935,290936,Osée,1,1,מַלְכֵ֣י ,מֶלֶךְ,H4428,2523
290936,290937,Osée,1,1,יְהוּדָ֑ה ,יְהוּדָה,H3063,819
290937,290938,Osée,1,1,וּ,וְ,H9000,50272
290938,290939,Osée,1,1,בִ,בְּ,H9003,15542
290939,290940,Osée,1,1,ימֵ֛י ,יֹום,H3117,2304
290940,290941,Osée,1,1,יָרָבְעָ֥ם ,יָרָבְעָם,H3379,104
290941,290942,Osée,1,1,בֶּן־,בֵּן,H1121,4937
290942,290943,Osée,1,1,יֹואָ֖שׁ ,יֹואָשׁ,H3101,47
290943,290944,Osée,1,1,מֶ֥לֶךְ ,מֶלֶךְ,H4428,2523
290944,290945,Osée,1,1,יִשְׂרָאֵֽל׃ ,יִשְׂרָאֵל,H3478,2506
290945,290946,Osée,1,2,תְּחִלַּ֥ת ,תְּחִלָּה,H8462,22
290946,290947,Osée,1,2,דִּבֶּר־,דבר,H1696,1138
290947,290948,Osée,1,2,יְהוָ֖ה ,יְהוָה,H3068,6828
290948,290949,Osée,1,2,בְּ,בְּ,H9003,15542
290949,290950,Osée,1,2,הֹושֵׁ֑עַ פ ,הֹושֵׁעַ,H1954,16
290950,290951,Osée,1,2,וַ,וְ,H9000,50272
290951,290952,Osée,1,2,יֹּ֨אמֶר ,אמר,H559,5307
290952,290953,Osée,1,2,יְהוָ֜ה ,יְהוָה,H3068,6828
290953,290954,Osée,1,2,אֶל־,אֶל,H413,5517
290954,290955,Osée,1,2,הֹושֵׁ֗עַ ,הֹושֵׁעַ,H1954,16
290955,290956,Osée,1,2,לֵ֣ךְ ,הלך,H1980,1547
290956,290957,Osée,1,2,קַח־,לקח,H3947,965
290957,290958,Osée,1,2,לְךָ֞ ,לְ,H9005,20069
290958,290959,Osée,1,2,אֵ֤שֶׁת ,אִשָּׁה,H802,781
290959,290960,Osée,1,2,זְנוּנִים֙ ,זְנוּנִים,H2183,12
290960,290961,Osée,1,2,וְ,וְ,H9000,50272
290961,290962,Osée,1,2,יַלְדֵ֣י ,יֶלֶד,H3206,89
290962,290963,Osée,1,2,זְנוּנִ֔ים ,זְנוּנִים,H2183,12
290963,290964,Osée,1,2,כִּֽי־,כִּי,H3588,4483
290964,290965,Osée,1,2,זָנֹ֤ה ,זנה,H2181,93
290965,290966,Osée,1,2,תִזְנֶה֙ ,זנה,H2181,93
290966,290967,Osée,1,2,הָ,הַ,H9009,30386
290967,290968,Osée,1,2,אָ֔רֶץ ,אֶרֶץ,H776,2504
290968,290969,Osée,1,2,מֵֽ,מִן,H4480,7562
290969,290970,Osée,1,2,אַחֲרֵ֖י ,אַחַר,H310,715
290970,290971,Osée,1,2,יְהוָֽה׃ ,יְהוָה,H3068,6828
290971,290972,Osée,1,3,וַ,וְ,H9000,50272
290972,290973,Osée,1,3,יֵּ֨לֶךְ֙ ,הלך,H1980,1547
290973,290974,Osée,1,3,וַ,וְ,H9000,50272
290974,290975,Osée,1,3,יִּקַּ֔ח ,לקח,H3947,965
290975,290976,Osée,1,3,אֶת־,אֵת,H853,10987
290976,290977,Osée,1,3,גֹּ֖מֶר ,גֹּמֶר,H1586,1
290977,290978,Osée,1,3,בַּת־,בַּת,H1323,588
290978,290979,Osée,1,3,דִּבְלָ֑יִם ,דִּבְלָיִם,H1691,1
290979,290980,Osée,1,3,וַ,וְ,H9000,50272
290980,290981,Osée,1,3,תַּ֥הַר ,הרה,H2029,43
290981,290982,Osée,1,3,וַ,וְ,H9000,50272
290982,290983,Osée,1,3,תֵּֽלֶד־,ילד,H3205,492
290983,290984,Osée,1,3,לֹ֖ו ,לְ,H9005,20069
290984,290985,Osée,1,3,בֵּֽן׃ ,בֵּן,H1121,4937
290985,290986,Osée,1,4,וַ,וְ,H9000,50272
290986,290987,Osée,1,4,יֹּ֤אמֶר ,אמר,H559,5307
290987,290988,Osée,1,4,יְהוָה֙ ,יְהוָה,H3068,6828
290988,290989,Osée,1,4,אֵלָ֔יו ,אֶל,H413,5517
290989,290990,Osée,1,4,קְרָ֥א ,קרא,H7121,732
290990,290991,Osée,1,4,שְׁמֹ֖ו ,שֵׁם,H8034,864
290991,290992,Osée,1,4,יִזְרְעֶ֑אל ,יִזְרְעֶאל,H3157,3
290992,290993,Osée,1,4,כִּי־,כִּי,H3588,4483
290993,290994,Osée,1,4,עֹ֣וד ,עֹוד,H5750,490
290994,290995,Osée,1,4,מְעַ֗ט ,מְעַט,H4592,101
290995,290996,Osée,1,4,וּ,וְ,H9000,50272
