,bhsa2021_word_n,book,chapter,verse,bhsa_text,voc_lex_utf8,HStrong,freq_lex
355795,355796,Ruth,1,1,וַ,וְ,H9000,50272
355796,355797,Ruth,1,1,יְהִ֗י ,היה,H1961,3561
355797,355798,Ruth,1,1,בִּ,בְּ,H9003,15542
355798,355799,Ruth,1,1,ימֵי֙ ,יֹום,H3117,2304
355799,355800,Ruth,1,1,שְׁפֹ֣ט ,שׁפט,H8199,202
355800,355801,Ruth,1,1,הַ,הַ,H9009,30386
355801,355802,Ruth,1,1,שֹּׁפְטִ֔ים ,שׁפט,H8199,202
355802,355803,Ruth,1,1,וַ,וְ,H9000,50272
355803,355804,Ruth,1,1,יְהִ֥י ,היה,H1961,3561
355804,355805,Ruth,1,1,רָעָ֖ב ,רָעָב,H7458,101
355805,355806,Ruth,1,1,בָּ,בְּ,H9003,15542
355806,355807,Ruth,1,1,,הַ,H9009,30386
355807,355808,Ruth,1,1,אָ֑רֶץ ,אֶרֶץ,H776,2504
355808,355809,Ruth,1,1,וַ,וְ,H9000,50272
355809,355810,Ruth,1,1,יֵּ֨לֶךְ ,הלך,H1980,1547
355810,355811,Ruth,1,1,אִ֜ישׁ ,אִישׁ,H376,2186
355811,355812,Ruth,1,1,מִ,מִן,H4480,7562
355812,355813,Ruth,1,1,בֵּ֧ית לֶ֣חֶם ,בֵּית לֶחֶם,H1035,41
355813,355814,Ruth,1,1,יְהוּדָ֗ה ,יְהוּדָה,H3063,819
355814,355815,Ruth,1,1,לָ,לְ,H9005,20069
355815,355816,Ruth,1,1,גוּר֙ ,גור,H1481,83
355816,355817,Ruth,1,1,בִּ,בְּ,H9003,15542
355817,355818,Ruth,1,1,שְׂדֵ֣י ,שָׂדֶה,H7704,320
355818,355819,Ruth,1,1,מֹואָ֔ב ,מֹואָב,H4124,180
355819,355820,Ruth,1,1,ה֥וּא ,הוּא,H1931,1394
355820,355821,Ruth,1,1,וְ,וְ,H9000,50272
355821,355822,Ruth,1,1,אִשְׁתֹּ֖ו ,אִשָּׁה,H802,781
355822,355823,Ruth,1,1,וּ,וְ,H9000,50272
355823,355824,Ruth,1,1,שְׁנֵ֥י ,שְׁנַיִם,H8147,768
355824,355825,Ruth,1,1,בָנָֽיו׃ ,בֵּן,H1121,4937
355825,355826,Ruth,1,2,וְ,וְ,H9000,50272
355826,355827,Ruth,1,2,שֵׁ֣ם ,שֵׁם,H8034,864
355827,355828,Ruth,1,2,הָ,הַ,H9009,30386
355828,355829,Ruth,1,2,אִ֣ישׁ ,אִישׁ,H376,2186
355829,355830,Ruth,1,2,אֱֽלִימֶ֡לֶךְ ,אֱלִימֶלֶךְ,H458,6
355830,355831,Ruth,1,2,וְ,וְ,H9000,50272
355831,355832,Ruth,1,2,שֵׁם֩ ,שֵׁם,H8034,864
355832,355833,Ruth,1,2,אִשְׁתֹּ֨ו ,אִשָּׁה,H802,781
355833,355834,Ruth,1,2,נָעֳמִ֜י ,נָעֳמִי,H5281,21
355834,355835,Ruth,1,2,וְ,וְ,H9000,50272
355835,355836,Ruth,1,2,שֵׁ֥ם ,שֵׁם,H8034,864
355836,355837,Ruth,1,2,שְׁנֵֽי־,שְׁנַיִם,H8147,768
355837,355838,Ruth,1,2,בָנָ֣יו׀ ,בֵּן,H1121,4937
355838,355839,Ruth,1,2,מַחְלֹ֤ון ,מַחְלֹון,H4248,4
355839,355840,Ruth,1,2,וְ,וְ,H9000,50272
355840,355841,Ruth,1,2,כִלְיֹון֙ ,כִּלְיֹון,H3630,3
355841,355842,Ruth,1,2,אֶפְרָתִ֔ים ,אֶפְרָתִי,H673,5
355842,355843,Ruth,1,2,מִ,מִן,H4480,7562
355843,355844,Ruth,1,2,בֵּ֥ית לֶ֖חֶם ,בֵּית לֶחֶם,H1035,41
355844,355845,Ruth,1,2,יְהוּדָ֑ה ,יְהוּדָה,H3063,819
355845,355846,Ruth,1,2,וַ,וְ,H9000,50272
355846,355847,Ruth,1,2,יָּבֹ֥אוּ ,בוא,H935,2570
355847,355848,Ruth,1,2,שְׂדֵי־,שָׂדֶה,H7704,320
355848,355849,Ruth,1,2,מֹואָ֖ב ,מֹואָב,H4124,180
355849,355850,Ruth,1,2,וַ,וְ,H9000,50272
355850,355851,Ruth,1,2,יִּֽהְיוּ־,היה,H1961,3561
355851,355852,Ruth,1,2,שָֽׁם׃ ,שָׁם,H8033,834
355852,355853,Ruth,1,3,וַ,וְ,H9000,50272
355853,355854,Ruth,1,3,יָּ֥מָת ,מות,H4191,835
355854,355855,Ruth,1,3,אֱלִימֶ֖לֶךְ ,אֱלִימֶלֶךְ,H458,6
355855,355856,Ruth,1,3,אִ֣ישׁ ,אִישׁ,H376,2186
355856,355857,Ruth,1,3,נָעֳמִ֑י ,נָעֳמִי,H5281,21
355857,355858,Ruth,1,3,וַ,וְ,H9000,50272
355858,355859,Ruth,1,3,תִּשָּׁאֵ֥ר ,שׁאר,H7604,133
355859,355860,Ruth,1,3,הִ֖יא ,הִיא,H1931,485
355860,355861,Ruth,1,3,וּ,וְ,H9000,50272
355861,355862,Ruth,1,3,שְׁנֵ֥י ,שְׁנַיִם,H8147,768
355862,355863,Ruth,1,3,בָנֶֽיהָ׃ ,בֵּן,H1121,4937
355863,355864,Ruth,1,4,וַ,וְ,H9000,50272
355864,355865,Ruth,1,4,יִּשְׂא֣וּ ,נשׂא,H5375,653
355865,355866,Ruth,1,4,לָהֶ֗ם ,לְ,H9005,20069
355866,355867,Ruth,1,4,נָשִׁים֙ ,אִשָּׁה,H802,781
355867,355868,Ruth,1,4,מֹֽאֲבִיֹּ֔ות ,מֹואָבִי,H4125,16
355868,355869,Ruth,1,4,שֵׁ֤ם ,שֵׁם,H8034,864
355869,355870,Ruth,1,4,הָֽ,הַ,H9009,30386
355870,355871,Ruth,1,4,אַחַת֙ ,אֶחָד,H259,970
355871,355872,Ruth,1,4,עָרְפָּ֔ה ,עָרְפָּה,H6204,2
355872,355873,Ruth,1,4,וְ,וְ,H9000,50272
355873,355874,Ruth,1,4,שֵׁ֥ם ,שֵׁם,H8034,864
355874,355875,Ruth,1,4,הַ,הַ,H9009,30386
355875,355876,Ruth,1,4,שֵּׁנִ֖ית ,שֵׁנִי,H8145,156
355876,355877,Ruth,1,4,ר֑וּת ,רוּת,H7327,12
355877,355878,Ruth,1,4,וַ,וְ,H9000,50272
355878,355879,Ruth,1,4,יֵּ֥שְׁבוּ ,ישׁב,H3427,1082
355879,355880,Ruth,1,4,שָׁ֖ם ,שָׁם,H8033,834
355880,355881,Ruth,1,4,כְּ,כְּ,H9004,2902
355881,355882,Ruth,1,4,עֶ֥שֶׂר ,עֶשֶׂר,H6235,56
355882,355883,Ruth,1,4,שָׁנִֽים׃ ,שָׁנָה,H8141,876
355883,355884,Ruth,1,5,וַ,וְ,H9000,50272
355884,355885,Ruth,1,5,יָּמ֥וּתוּ ,מות,H4191,835
355885,355886,Ruth,1,5,גַם־,גַּם,H1571,769
355886,355887,Ruth,1,5,שְׁנֵיהֶ֖ם ,שְׁנַיִם,H8147,768
355887,355888,Ruth,1,5,מַחְלֹ֣ון ,מַחְלֹון,H4248,4
355888,355889,Ruth,1,5,וְ,וְ,H9000,50272
355889,355890,Ruth,1,5,כִלְיֹ֑ון ,כִּלְיֹון,H3630,3
355890,355891,Ruth,1,5,וַ,וְ,H9000,50272
355891,355892,Ruth,1,5,תִּשָּׁאֵר֙ ,שׁאר,H7604,133
355892,355893,Ruth,1,5,הָֽ,הַ,H9009,30386
355893,355894,Ruth,1,5,אִשָּׁ֔ה ,אִשָּׁה,H802,781
355894,355895,Ruth,1,5,מִ,מִן,H4480,7562
355895,355896,Ruth,1,5,שְּׁנֵ֥י ,שְׁנַיִם,H8147,768
355896,355897,Ruth,1,5,יְלָדֶ֖יהָ ,יֶלֶד,H3206,89
355897,355898,Ruth,1,5,וּ,וְ,H9000,50272
355898,355899,Ruth,1,5,מֵ,מִן,H4480,7562
355899,355900,Ruth,1,5,אִישָֽׁהּ׃ ,אִישׁ,H376,2186
355900,355901,Ruth,1,6,וַ,וְ,H9000,50272
355901,355902,Ruth,1,6,תָּ֤קָם ,קום,H6965,629
355902,355903,Ruth,1,6,הִיא֙ ,הִיא,H1931,485
355903,355904,Ruth,1,6,וְ,וְ,H9000,50272
355904,355905,Ruth,1,6,כַלֹּתֶ֔יהָ ,כַּלָּה,H3618,34
355905,355906,Ruth,1,6,וַ,וְ,H9000,50272
355906,355907,Ruth,1,6,תָּ֖שָׁב ,שׁוב,H7725,1038
355907,355908,Ruth,1,6,מִ,מִן,H4480,7562
355908,355909,Ruth,1,6,שְּׂדֵ֣י ,שָׂדֶה,H7704,320
355909,355910,Ruth,1,6,מֹואָ֑ב ,מֹואָב,H4124,180
355910,355911,Ruth,1,6,כִּ֤י ,כִּי,H3588,4483
355911,355912,Ruth,1,6,שָֽׁמְעָה֙ ,שׁמע,H8085,1159
355912,355913,Ruth,1,6,בִּ,בְּ,H9003,15542
355913,355914,Ruth,1,6,שְׂדֵ֣ה ,שָׂדֶה,H7704,320
355914,355915,Ruth,1,6,מֹואָ֔ב ,מֹואָב,H4124,180
355915,355916,Ruth,1,6,כִּֽי־,כִּי,H3588,4483
355916,355917,Ruth,1,6,פָקַ֤ד ,פקד,H6485,303
355917,355918,Ruth,1,6,יְהוָה֙ ,יְהוָה,H3069,6828
355918,355919,Ruth,1,6,אֶת־,אֵת,H853,10987
355919,355920,Ruth,1,6,עַמֹּ֔ו ,עַם,H5971,1866
355920,355921,Ruth,1,6,לָ,לְ,H9005,20069
