,bhsa2021_word_n,book,chapter,verse,bhsa_text,voc_lex_utf8,HStrong,freq_lex
365457,365458,Esther,1,1,וַ,וְ,H9000,50272
365458,365459,Esther,1,1,יְהִ֖י ,היה,H1961,3561
365459,365460,Esther,1,1,בִּ,בְּ,H9003,15542
365460,365461,Esther,1,1,ימֵ֣י ,יֹום,H3117,2304
365461,365462,Esther,1,1,אֲחַשְׁוֵרֹ֑ושׁ ,אֲחַשְׁוֵרֹושׁ,H325,31
365462,365463,Esther,1,1,ה֣וּא ,הוּא,H1931,1394
365463,365464,Esther,1,1,אֲחַשְׁוֵרֹ֗ושׁ ,אֲחַשְׁוֵרֹושׁ,H325,31
365464,365465,Esther,1,1,הַ,הַ,H9009,30386
365465,365466,Esther,1,1,מֹּלֵךְ֙ ,מלך,H4427,347
365466,365467,Esther,1,1,מֵ,מִן,H4480,7562
365467,365468,Esther,1,1,הֹ֣דּוּ ,הֹדּוּ,H1912,2
365468,365469,Esther,1,1,וְ,וְ,H9000,50272
365469,365470,Esther,1,1,עַד־,עַד,H5704,1263
365470,365471,Esther,1,1,כּ֔וּשׁ ,כּוּשׁ,H3568,25
365471,365472,Esther,1,1,שֶׁ֛בַע ,שֶׁבַע,H7651,490
365472,365473,Esther,1,1,וְ,וְ,H9000,50272
365473,365474,Esther,1,1,עֶשְׂרִ֥ים ,עֶשְׂרִים,H6242,315
365474,365475,Esther,1,1,וּ,וְ,H9000,50272
365475,365476,Esther,1,1,מֵאָ֖ה ,מֵאָה,H3967,579
365476,365477,Esther,1,1,מְדִינָֽה׃ ,מְדִינָה,H4082,53
365477,365478,Esther,1,2,בַּ,בְּ,H9003,15542
365478,365479,Esther,1,2,,הַ,H9009,30386
365479,365480,Esther,1,2,יָּמִ֖ים ,יֹום,H3117,2304
365480,365481,Esther,1,2,הָ,הַ,H9009,30386
365481,365482,Esther,1,2,הֵ֑ם ,הֵם,H1992,269
365482,365483,Esther,1,2,כְּ,כְּ,H9004,2902
365483,365484,Esther,1,2,שֶׁ֣בֶת׀ ,ישׁב,H7675,1082
365484,365485,Esther,1,2,הַ,הַ,H9009,30386
365485,365486,Esther,1,2,מֶּ֣לֶךְ ,מֶלֶךְ,H4428,2523
365486,365487,Esther,1,2,אֲחַשְׁוֵרֹ֗ושׁ ,אֲחַשְׁוֵרֹושׁ,H325,31
365487,365488,Esther,1,2,עַ֚ל ,עַל,H5921,5766
365488,365489,Esther,1,2,כִּסֵּ֣א ,כִּסֵּא,H3678,136
365489,365490,Esther,1,2,מַלְכוּתֹ֔ו ,מַלְכוּת,H4438,91
365490,365491,Esther,1,2,אֲשֶׁ֖ר ,אֲשֶׁר,H834,5500
365491,365492,Esther,1,2,בְּ,בְּ,H9003,15542
365492,365493,Esther,1,2,שׁוּשַׁ֥ן ,שׁוּשַׁן,H7800,21
365493,365494,Esther,1,2,הַ,הַ,H9009,30386
365494,365495,Esther,1,2,בִּירָֽה׃ ,בִּירָה,H1002,16
365495,365496,Esther,1,3,בִּ,בְּ,H9003,15542
365496,365497,Esther,1,3,שְׁנַ֤ת ,שָׁנָה,H8141,876
365497,365498,Esther,1,3,שָׁלֹושׁ֙ ,שָׁלֹשׁ,H7969,602
365498,365499,Esther,1,3,לְ,לְ,H9005,20069
365499,365500,Esther,1,3,מָלְכֹ֔ו ,מלך,H4427,347
365500,365501,Esther,1,3,עָשָׂ֣ה ,עשׂה,H6213,2629
365501,365502,Esther,1,3,מִשְׁתֶּ֔ה ,מִשְׁתֶּה,H4960,46
365502,365503,Esther,1,3,לְ,לְ,H9005,20069
365503,365504,Esther,1,3,כָל־,כֹּל,H3605,5412
365504,365505,Esther,1,3,שָׂרָ֖יו ,שַׂר,H8269,421
365505,365506,Esther,1,3,וַ,וְ,H9000,50272
365506,365507,Esther,1,3,עֲבָדָ֑יו ,עֶבֶד,H5650,800
365507,365508,Esther,1,3,חֵ֣יל׀ ,חַיִל,H2426,244
365508,365509,Esther,1,3,פָּרַ֣ס ,פָּרַס,H6539,28
365509,365510,Esther,1,3,וּ,וְ,H9000,50272
365510,365511,Esther,1,3,מָדַ֗י ,מָדַי,H4074,16
365511,365512,Esther,1,3,הַֽ,הַ,H9009,30386
365512,365513,Esther,1,3,פַּרְתְּמִ֛ים ,פַּרְתְּמִים,H6579,3
365513,365514,Esther,1,3,וְ,וְ,H9000,50272
365514,365515,Esther,1,3,שָׂרֵ֥י ,שַׂר,H8269,421
365515,365516,Esther,1,3,הַ,הַ,H9009,30386
365516,365517,Esther,1,3,מְּדִינֹ֖ות ,מְדִינָה,H4082,53
365517,365518,Esther,1,3,לְ,לְ,H9005,20069
365518,365519,Esther,1,3,פָנָֽיו׃ ,פָּנֶה,H6440,2127
365519,365520,Esther,1,4,בְּ,בְּ,H9003,15542
365520,365521,Esther,1,4,הַרְאֹתֹ֗ו ,ראה,H7200,1298
365521,365522,Esther,1,4,אֶת־,אֵת,H853,10987
365522,365523,Esther,1,4,עֹ֨שֶׁר֙ ,עֹשֶׁר,H6239,37
365523,365524,Esther,1,4,כְּבֹ֣וד ,כָּבֹוד,H3519,200
365524,365525,Esther,1,4,מַלְכוּתֹ֔ו ,מַלְכוּת,H4438,91
365525,365526,Esther,1,4,וְ,וְ,H9000,50272
