,bhsa2021_word_n,book,chapter,verse,bhsa_text,voc_lex_utf8,HStrong,freq_lex
309465,309466,Malachie,1,1,מַשָּׂ֥א ,מַשָּׂא,H4853,22
309466,309467,Malachie,1,1,דְבַר־,דָּבָר,H1697,1441
309467,309468,Malachie,1,1,יְהוָ֖ה ,יְהוָה,H3068,6828
309468,309469,Malachie,1,1,אֶל־,אֶל,H413,5517
309469,309470,Malachie,1,1,יִשְׂרָאֵ֑ל ,יִשְׂרָאֵל,H3478,2506
309470,309471,Malachie,1,1,בְּ,בְּ,H9003,15542
309471,309472,Malachie,1,1,יַ֖ד ,יָד,H3027,1618
309472,309473,Malachie,1,1,מַלְאָכִֽי׃ ,מַלְאָכִי,H4401,1
309473,309474,Malachie,1,2,אָהַ֤בְתִּי ,אהב,H157,211
309474,309475,Malachie,1,2,אֶתְכֶם֙ ,אֵת,H853,10987
309475,309476,Malachie,1,2,אָמַ֣ר ,אמר,H559,5307
309476,309477,Malachie,1,2,יְהוָ֔ה ,יְהוָה,H3068,6828
309477,309478,Malachie,1,2,וַ,וְ,H9000,50272
309478,309479,Malachie,1,2,אֲמַרְתֶּ֖ם ,אמר,H559,5307
309479,309480,Malachie,1,2,בַּ,בְּ,H9003,15542
309480,309481,Malachie,1,2,מָּ֣ה ,מָה,H4100,573
309481,309482,Malachie,1,2,אֲהַבְתָּ֑נוּ ,אהב,H157,211
309482,309483,Malachie,1,2,הֲ,הֲ,H9008,743
309483,309484,Malachie,1,2,לֹוא־,לֹא,H3808,5167
309484,309485,Malachie,1,2,אָ֨ח ,אָח,H251,629
309485,309486,Malachie,1,2,עֵשָׂ֤ו ,עֵשָׂו,H6215,97
309486,309487,Malachie,1,2,לְ,לְ,H9005,20069
309487,309488,Malachie,1,2,יַֽעֲקֹב֙ ,יַעֲקֹב,H3290,349
309488,309489,Malachie,1,2,נְאֻם־,נְאֻם,H5002,376
309489,309490,Malachie,1,2,יְהוָ֔ה ,יְהוָה,H3068,6828
309490,309491,Malachie,1,2,וָ,וְ,H9000,50272
309491,309492,Malachie,1,2,אֹהַ֖ב ,אהב,H157,211
309492,309493,Malachie,1,2,אֶֽת־,אֵת,H853,10987
309493,309494,Malachie,1,2,יַעֲקֹֽב׃ ,יַעֲקֹב,H3290,349
309494,309495,Malachie,1,3,וְ,וְ,H9000,50272
309495,309496,Malachie,1,3,אֶת־,אֵת,H853,10987
309496,309497,Malachie,1,3,עֵשָׂ֖ו ,עֵשָׂו,H6215,97
309497,309498,Malachie,1,3,שָׂנֵ֑אתִי ,שׂנא,H8130,146
309498,309499,Malachie,1,3,וָ,וְ,H9000,50272
309499,309500,Malachie,1,3,אָשִׂ֤ים ,שׂים,H7760,583
309500,309501,Malachie,1,3,אֶת־,אֵת,H853,10987
309501,309502,Malachie,1,3,הָרָיו֙ ,הַר,H2022,558
309502,309503,Malachie,1,3,שְׁמָמָ֔ה ,שְׁמָמָה,H8077,56
309503,309504,Malachie,1,3,וְ,וְ,H9000,50272
309504,309505,Malachie,1,3,אֶת־,אֵת,H853,10987
